 	li	vestono	i	genitori	</S>
t	0.91951323	0.0061181798465	0.008641710956	0.0111503622988	0.0545765363775
u	0.894577583333	0.0301847709488	0.008825295832	0.0111679681453	0.0552443757925
s	0.808040747778	0.0887261969829	0.00952951179067	0.00521192932743	0.0884915955975
i	0.640729035926	0.245525948994	0.0113387772636	0.00323215965581	0.0991740814492
n	0.419965271975	0.412152299665	0.0142417984212	0.00432728786527	0.149313370066
d	0.430452780658	0.332936483222	0.0579505228071	0.00857334662176	0.170086883189
ì	0.491597050219	0.348326544407	0.0887747876024	0.00688609349059	0.064415517563
n	0.285125703406	0.432791904802	0.162428125867	0.0468525167802	0.072801722521
n	0.282357387802	0.301914911601	0.255213568622	0.0718385835934	0.0886755308403
o	0.289244514601	0.166195221534	0.456314749541	0.0368234002645	0.0514221282801
n	0.138974297534	0.0950280648447	0.567575329847	0.121991444488	0.07643089076
e	0.0860890998447	0.0696300249482	0.601199656616	0.159597043163	0.0834841865867
i	0.0710101216149	0.0652092203161	0.732613318872	0.0872243460543	0.0439429685289
g	0.051574312205	0.090792840772	0.632082986291	0.145043898685	0.0805059295096
e	0.110356530735	0.110110180591	0.451271628764	0.193177556228	0.135084089837
n	0.114357414578	0.0807454068637	0.279988999588	0.378555695409	0.146352493279
i	0.0876841558593	0.0630080272879	0.185107109863	0.51262248847	0.15157823776
t	0.0775656349531	0.056311915096	0.146869667621	0.572329486157	0.146923284253
ò	0.0360505653177	0.024983115032	0.070564930207	0.758112328719	0.110289039751
r	0.0236567941059	0.014860127344	0.0512462974023	0.79784286624	0.11239388325
i	0.0135814603686	0.00922789988133	0.0472531608008	0.533673585413	0.396263864417
</S>	0.0117900261843	0.00658827859066	0.0407538169004	0.286819752707	0.654048132208
