 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.880180865	0.013148171	0.0412580674	0.003228497825	0.01670333321	0.00094143353325	0.00591864104135	0.03862099864
ì	0.802628725	0.0173747286667	0.0472575001333	0.00681852660833	0.0346385967367	0.00265520417775	0.00714837921378	0.08147836288
n	0.786173711667	0.0377328955556	0.0353349300444	0.0105936602028	0.0355405979122	0.00402161272592	0.00452539500459	0.0860772186267
i	0.652349597222	0.225847101852	0.0449022910148	0.0086717068676	0.0182530921374	0.00279643836531	0.00242346160486	0.0447563122499
e	0.378815605741	0.471592453951	0.110706925672	0.0122803407559	0.00725272767913	0.0012606839651	0.000827324995953	0.017263934991
n	0.194019091914	0.47225401465	0.271456971891	0.0272151099186	0.00714463735971	0.00196974027503	0.000374003356318	0.0255664415303
è	0.133331858971	0.365505428217	0.41967694063	0.0372597146395	0.0142184484532	0.00252276735834	0.000256840488773	0.0272280088434
r	0.097498104657	0.236916339406	0.54028863021	0.0563790468798	0.0170433116511	0.0144652831528	0.00314127176626	0.0342680339478
k	0.052262972219	0.0936201852353	0.731773566737	0.0498898844266	0.0135536290504	0.0179062022843	0.00499144742209	0.0360021341493
o	0.037763286073	0.0377633555118	0.763239032246	0.0859347169422	0.0522866270168	0.00638791379477	0.00274111945736	0.0138839475498
t	0.0328154910243	0.0247287521706	0.626487497415	0.123015068981	0.0901863023389	0.0161618067316	0.0238331709691	0.0627719291833
t	0.0191886153414	0.0149889378902	0.669354132472	0.0801392396603	0.081437894113	0.0195574878772	0.032898882423	0.0824348673944
e	0.0131284107805	0.00861678013007	0.526758600824	0.103054196553	0.284524414704	0.0113842984257	0.0143791903743	0.0381541767981
e	0.0089848733935	0.00746904704336	0.195485955941	0.128666928851	0.573673684901	0.0546296653086	0.0101495192581	0.020940350766
t	0.00709461059783	0.00855010334779	0.0726818329803	0.103392259617	0.5590198283	0.17015871177	0.0201623167527	0.0589403287553
u	0.0181517281993	0.0128214801159	0.0322193533268	0.0747478508723	0.490565229433	0.25721439059	0.0353399942509	0.0789399595851
s	0.0206650763998	0.0120209337053	0.0158420196756	0.0450059246241	0.374699603144	0.340747056863	0.074843281417	0.116176103195
m	0.0227890424666	0.00773897910177	0.0112460927919	0.0256802337747	0.175451362381	0.281615721288	0.186572623806	0.288905957732
è	0.0246884651555	0.00551824090059	0.0100598638306	0.0166858288249	0.113766202127	0.225089286096	0.259097167935	0.345094955911
n	0.0153709275518	0.00575608496686	0.0100586595102	0.0162114379416	0.090366549709	0.264181505365	0.297111309312	0.300943558637
o	0.0216444820173	0.00816432498895	0.0124940675034	0.0205107156472	0.075502008903	0.188476065122	0.368586886437	0.304621479546
m	0.0219722767724	0.00753896522965	0.0094960271678	0.0191425866491	0.057005616301	0.113011299374	0.512558928812	0.259274283182
e	0.0184234283575	0.00883228230988	0.00518412185593	0.0110796066497	0.0358198304337	0.0632505127913	0.566557632937	0.290852561061
t	0.0165437949525	0.00921032443663	0.00350676485198	0.0080994245499	0.0280455036446	0.0365990955971	0.629530600979	0.268464480354
r	0.0191698258175	0.00711310231221	0.00420537471733	0.00427322701663	0.0147962049482	0.0202765328657	0.65017871366	0.279987003451
ò	0.0208693183725	0.00644122250407	0.00459742750578	0.00388606833888	0.0103226875494	0.0140068889552	0.431348014553	0.508528384484
m	0.0120446008908	0.00484225650136	0.00369772666859	0.00382120051296	0.0138188478498	0.0195747553184	0.474015901518	0.468184738161
e	0.0088879749636	0.00407054860045	0.00362867578953	0.00401122187099	0.0179720122833	0.0198888601061	0.441231751506	0.500308959387
</S>	0.0075724219818	0.00339126230023	0.00288286389477	0.00474690163549	0.0180038836417	0.0148877985531	0.251754402253	0.696760459693
