 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.45904335775	0.538624333	0.00103539747	0.00129546793	1.19692157e-06	1.85463235e-07	2.170249e-09
n	0.159028704417	0.839398111	0.00078402467	0.000777319716667	3.44091683667e-06	8.23928211167e-06	1.276469634e-07
a	0.0595821497057	0.939386690333	0.000640214976667	0.000376088167122	3.90249923889e-06	1.08113807064e-05	1.68623848448e-07
v	0.149434684802	0.691087110111	0.0184325422122	0.140686048997	2.0496511373e-05	6.3868784238e-05	0.00027527318513
o	0.188942519934	0.59245596337	0.0305862424041	0.187519945802	4.5996057791e-05	8.23571241793e-05	0.000366987392288
r	0.0776198386447	0.805770044457	0.021084581468	0.0892301167373	0.00355034452326	0.00233192032749	0.000413189338008
à	0.107008256548	0.619955591486	0.170146571156	0.0929897975791	0.00637793564109	0.00309238806116	0.000429480265603
s	0.171349648849	0.269853099495	0.246387682385	0.304611052526	0.0038747624137	0.00111329593905	0.00281044438813
o	0.123995926283	0.097461472165	0.423986339462	0.349064586509	0.00144544284457	0.00044238917045	0.00360382779138
t	0.0528802346943	0.0356835001217	0.465724153154	0.443459814503	0.000673273881523	0.00017084843425	0.00140815565913
o	0.0209293148648	0.0137203037739	0.295568324385	0.657333504834	0.0116757482538	9.68355764167e-05	0.00067591526566
t	0.00873869648827	0.00616981704963	0.228262993462	0.739807978278	0.0162509324846	0.000246738647139	0.000522803334503
s	0.00496831722942	0.00468767090821	0.140792566487	0.837927436093	0.0093598882282	0.00157555399238	0.000688591878168
o	0.00328811387647	0.0045579488694	0.113318787829	0.579601886698	0.296290205743	0.00224192623079	0.000701157046056
m	0.00400283319216	0.0029150765898	0.0467292396097	0.400172670233	0.432487751914	0.105958955377	0.00773350926869
ì	0.00417819373072	0.00234057172993	0.0267175125366	0.466591423411	0.326807320638	0.157664726459	0.0157002800896
k	0.0221254159102	0.00377105810998	0.0291659621789	0.43429278447	0.278306083546	0.21461435682	0.0177243466965
a	0.0290005040701	0.00443767666999	0.0258745190596	0.264720484823	0.393079727849	0.249906377607	0.0329807135655
i	0.0124350414567	0.00281227955666	0.0134560043532	0.0964971902743	0.708634042616	0.134040511202	0.0321248845218
m	0.00610448478557	0.00173536026722	0.00656238191773	0.0401458174248	0.556595637539	0.372923763734	0.0159325056739
è	0.00286219139519	0.00075780949074	0.00283326147258	0.0199946324749	0.26686479918	0.665792887911	0.0408944127246
r	0.00179493076506	0.000446022018247	0.00165494477086	0.0105221754583	0.15912544296	0.756280409304	0.0701760742415
i	0.00439717238835	0.00161369910742	0.00296982273695	0.0050101106861	0.06568180922	0.578483239768	0.341844144747
</S>	0.00716419419417	0.00294737270371	0.00481394671848	0.00304211869305	0.04922467711	0.322476604884	0.610331092373
