 	l	ho	sentito	che	viene	</S>
o	0.486870708	0.0209011629	0.25767883385	0.234474948	7.40858915e-05	1.89724633e-07
n	0.167963457867	0.00812882216667	0.47784667795	0.328257489333	0.0173129958915	0.0004905131429
ì	0.0601891156557	0.00378115108889	0.694957315983	0.217359778778	0.0230571341472	0.000655472666867
k	0.0370719883852	0.00691008346296	0.585205881994	0.357626128593	0.0123498725657	0.000836041274856
u	0.222570186128	0.031448429821	0.337746657331	0.398567907198	0.00877189711123	0.000894911687839
s	0.297959952043	0.105810896607	0.422499495777	0.169995100066	0.00339496182641	0.0003395592455
a	0.126613294881	0.106948340936	0.401511348592	0.361945300022	0.00279917414214	0.0001825192385
n	0.0434057911603	0.0387223083787	0.257887446197	0.550495400007	0.0938298683807	0.0156591670495
a	0.0153210936234	0.0155486389942	0.171265298732	0.645429600002	0.12896044346	0.0234749186832
r	0.00527789764447	0.00597398553273	0.079517577244	0.531167350001	0.334634095153	0.0434290808944
t	0.00200228268816	0.00383907131091	0.033608255748	0.186810033667	0.687749251718	0.0859911052981
i	0.00206761970272	0.0029211118703	0.0140920572493	0.0842981155557	0.543934573906	0.352686525099
</S>	0.00291925565136	0.00228497738515	0.00991080312465	0.0722214637779	0.308179691953	0.604483782549
