 	poteva	entrare	</S>
ì	0.982513135	0.01734636602	0.00014053230895
s	0.933417135	0.0665314486733	5.14204586167e-05
o	0.928290211667	0.0716883805411	2.13516335939e-05
z	0.725779503889	0.272857611164	0.00136282632225
e	0.626710667963	0.368061860388	0.00522743757408
è	0.512287150321	0.482452676796	0.00526016607469
m	0.208860267774	0.736262038932	0.0548776785749
b	0.115563613258	0.491312698777	0.393123639525
i	0.054027954086	0.165783520826	0.780188479842
</S>	0.035693600543	0.083201733563	0.881104639921
