 	vado	vestito	</S>
i	0.996961725	0.00284855075	0.0001897172025
p	0.684207846667	0.0965118310833	0.219280302692
à	0.531248650556	0.175490010361	0.293261345064
o	0.545862890185	0.355387723454	0.098749421048
n	0.434683656728	0.508609407818	0.056706978876
d	0.386440978909	0.498464315939	0.115094702959
i	0.210112402636	0.665306385313	0.124581190986
m	0.084767362212	0.857488995104	0.057743656762
è	0.0412935357373	0.850666931701	0.108039555354
n	0.0386579495791	0.7005702939	0.260771771785
o	0.035398345193	0.418150316967	0.546451327262
</S>	0.0227150140965	0.222383961983	0.754900988631
