 	è	che	è	entrato	da	qui	</S>
è	0.4226787008	0.54037995	0.0320796177	0.00484713619	9.2360865e-06	5.2435143835e-06	1.71657795e-07
n	0.152258027467	0.761022013333	0.0455207699	0.0411769980633	1.37324921667e-05	7.62601562783e-06	8.55795371667e-07
a	0.066053501489	0.844467137778	0.0388597819667	0.0506040558211	9.65127788223e-06	4.93862071394e-06	9.84815978018e-07
m	0.0302449348297	0.614817357593	0.0253289461222	0.329577628407	6.51840178741e-06	1.96132897598e-06	2.27004532801e-05
b	0.0613757336099	0.253961460864	0.0399864975074	0.644232929469	0.000307068865929	1.27720672253e-05	0.000123549533093
ì	0.153027821203	0.241071926955	0.166840032502	0.43807238029	0.000829470368643	2.00309762418e-05	0.000138339921364
k	0.135165410334	0.205628690452	0.180672808801	0.477608120563	0.000732329360881	1.17442653139e-05	0.000180926367455
e	0.0655288220447	0.0959080216173	0.317309087567	0.490308659454	0.030701020425	4.89303595046e-05	0.000195493104818
a	0.0467515000149	0.0734971972058	0.504011339189	0.186990869085	0.188582986808	9.68305798349e-05	6.9305536486e-05
p	0.0210748785716	0.0398990204353	0.309792329506	0.418122843028	0.210939696779	7.68897856116e-05	9.43612647087e-05
ò	0.00882127532387	0.0188780641784	0.158708729612	0.680493581009	0.13273092677	0.000154443627537	0.00021296061157
t	0.00518088814129	0.0121294153928	0.108880285237	0.76603421367	0.107298574257	0.000176817284179	0.000299766693857
t	0.00321038438043	0.00564024846427	0.0449396111123	0.62432815789	0.239766140086	0.0291074520097	0.0530079642313
u	0.00248698882681	0.00362919772142	0.0241223203708	0.246297430743	0.408350423362	0.22210383067	0.0930098147438
</S>	0.00189322566341	0.00256131321071	0.0137065541854	0.123412482542	0.392007461681	0.386087965335	0.0803310473719
