 	quando	Giovanni	è	arrivato	è	arrivato	alla	casa	o	a	casa	ancora	e	cucina	</S>
s	0.9904027	0.0094222	0.000142762288	2.524379075e-05	5.185550485e-06	3.768929995e-07	4.937848205e-07	5.9574892375e-09	9.648129658e-07	1.4195702332e-08	2.244404712e-10	7.293432935e-10	7.250358765e-11	1.4733721715e-10	1.343533327e-10
à	0.977205633333	0.022714259	6.84392396667e-05	9.28665955e-06	1.756769485e-06	1.28048650833e-07	1.685118603e-07	2.0157455495e-09	3.346013248e-07	4.79550048867e-09	7.52334619667e-11	3.86211826833e-10	2.59124751833e-11	5.19750398167e-11	4.52779669393e-11
t	0.901466654444	0.098447053	8.05104415556e-05	4.71121298333e-06	7.89727251667e-07	5.25362382777e-08	6.81181959e-08	8.42823749517e-09	1.82308833933e-07	2.87344785289e-09	1.24954352809e-09	4.42768522278e-10	3.61089988259e-09	4.74943317927e-09	1.59650244632e-08
t	0.767729728148	0.231182934333	0.00103923837719	4.44943353278e-05	3.13725217389e-06	1.84943349426e-07	8.84181646333e-08	1.13047207651e-08	1.40326421311e-07	2.4226483843e-09	1.64263109936e-09	3.37872656759e-10	4.80478969598e-09	6.3133927538e-09	2.12715948538e-08
e	0.502483239383	0.495848994778	0.0015915750924	7.15510564426e-05	4.1488621913e-06	2.88744709809e-07	9.48514502111e-08	4.7102058017e-09	6.9383068437e-08	1.14555776143e-09	5.51586259453e-10	4.63156021586e-10	1.60174039414e-09	2.10558058674e-09	7.09053168412e-09
o	0.211151904794	0.785683114926	0.00300323156413	0.000158179363481	3.2170166971e-06	2.55367909936e-07	7.5242048737e-08	2.06332084723e-09	3.63076831457e-08	7.94241187143e-10	1.88915235984e-10	1.59489157386e-09	5.38227938413e-10	7.25929460347e-10	2.36357088866e-09
G	0.239658419931	0.623442546309	0.106191222955	0.0293697225212	0.00123288026873	8.05995370833e-05	1.27132880496e-05	3.88238465292e-06	7.63679650338e-06	1.68247049596e-07	3.02575598585e-08	1.65206892795e-09	8.35072926138e-10	3.41693344345e-09	2.2648275059e-07
i	0.25615896931	0.548572070103	0.151985321652	0.0413838503071	0.00173365421291	0.000131147184028	1.86817498165e-05	5.25793758431e-06	1.04019405345e-05	2.64682289865e-07	4.10647030528e-08	3.3615326146e-08	2.06159287538e-09	7.61545881448e-09	3.01192277563e-07
o	0.103643501603	0.523027146701	0.262804521217	0.106003424902	0.0038839741943	0.000560799979676	6.60738670722e-05	2.55864969477e-06	6.89756754483e-06	6.88907703288e-07	1.80746721176e-08	1.83903465382e-07	5.72076762513e-09	6.12499709382e-08	1.00404618225e-07
v	0.103604629701	0.217209918567	0.403252437072	0.261626181634	0.0116860963981	0.00186807659323	0.000457457312357	9.87111530316e-05	0.000187206436515	6.30149456776e-06	8.02734955373e-07	2.01275290427e-07	1.81318112084e-08	1.49026353646e-07	1.82531487108e-06
à	0.10142643	0.122762079189	0.481442745691	0.279089457211	0.012412473466	0.00193852397441	0.000541321669119	0.000130942205344	0.000244680414238	7.71736995592e-06	1.06563771179e-06	6.8598403209e-08	1.84496514528e-08	1.23926205649e-07	2.40028516725e-06
n	0.0446344211	0.0908490963963	0.545833028564	0.298550982404	0.016850691822	0.00253076776814	0.00044356606804	0.000145016596115	0.000154421680146	5.95603108531e-06	1.09537489726e-06	2.4235877903e-08	1.11719717009e-08	6.50117813163e-08	9.21262642641e-07
n	0.0238372942333	0.0423014587988	0.487074882855	0.408456830801	0.0312483116073	0.00616793612271	0.000604528436013	0.000170213993705	0.000130171754382	6.69518436177e-06	1.22541471909e-06	1.18139663677e-08	1.36490547336e-08	8.06514321054e-08	4.28274832302e-07
i	0.0098076396111	0.0232939095996	0.369857650952	0.4234303536	0.0997366822024	0.0700246743742	0.00363944604534	0.000131625156235	7.07609324607e-05	6.37755778726e-06	5.80840976363e-07	7.83165567892e-08	3.29481255779e-08	7.85901307018e-08	1.4278902548e-07
è	0.0047010307537	0.0162730885332	0.292039833651	0.418157104533	0.161755424067	0.0995077467914	0.00715119901511	0.000277402282078	0.00012666947082	9.42069226242e-06	6.51175542121e-07	1.2648377893e-07	4.47125618593e-08	1.99977973567e-07	4.77098992607e-08
s	0.0256210691346	0.0469901065111	0.292767121217	0.358160174844	0.194817594689	0.0665011109305	0.0134513718384	0.00124293446069	0.00042906114694	1.64071664208e-05	2.68025281404e-06	7.41066981433e-08	2.75210359531e-08	2.41436607189e-07	3.70843138969e-08
t	0.0324170205949	0.0524069162704	0.217027013739	0.295670721615	0.266937831563	0.114242816977	0.0187598346128	0.00196695842023	0.00053204075898	2.99616041403e-05	7.97900243801e-06	5.61636312144e-08	1.08045320651e-07	7.09805118396e-07	3.6738110799e-08
a	0.0109772220483	0.0183088883568	0.111688672246	0.230957713872	0.269646493854	0.300990885659	0.0538896635376	0.00252612670674	0.00090492543966	9.72801823801e-05	9.27428981267e-06	1.2155116504e-06	6.53240186884e-07	9.58058472799e-07	1.85954317663e-08
s	0.00389163514277	0.0069314615856	0.048487898082	0.121076884624	0.245814994618	0.36512288522	0.148159074513	0.0488993597689	0.0105407108799	0.00069567684746	0.000371085693271	1.85338034013e-06	1.42983446229e-06	4.53767089093e-06	5.10484229255e-07
e	0.00146368597059	0.0029052284552	0.0246151680273	0.0671555745413	0.220960418206	0.318554395073	0.263516591504	0.0770786125896	0.02129895996	0.00180025801582	0.000548601924424	5.93326489034e-05	2.08996726208e-05	2.15768079636e-05	6.81112796418e-07
