 	non	ho	cosa	a	fare	</S>
e	0.9125582	0.072918464	0.00929021455	0.004983825345	0.00024695758	2.334222925e-06
n	0.627092039933	0.0341855773333	0.15619476085	0.112928325115	0.0502037033833	0.0193955560065
è	0.300676173244	0.115605749111	0.33081125695	0.156894380372	0.0699800227944	0.0260324217688
c	0.196470018748	0.17234452637	0.321535838983	0.154617105457	0.132120625931	0.0229119150229
h	0.114657147249	0.346685775457	0.210006417994	0.151731313152	0.155055078977	0.0218642758076
o	0.119272132416	0.445599981819	0.237561217665	0.132139055717	0.0579474697923	0.00748015528387
t	0.088963947472	0.262690797273	0.456164682555	0.153463578572	0.0336332517308	0.00508378797596
i	0.0421634548573	0.123790870924	0.393833420185	0.346814809524	0.0879511625769	0.00544633215865
k	0.0144681061973	0.041645840348	0.141287459062	0.377363785175	0.421092610859	0.00414222655288
à	0.0048917969506	0.014136586856	0.048617547554	0.141609943725	0.740616120286	0.050127999851
m	0.00247613965687	0.007917096152	0.021837549718	0.0718507402417	0.830751290095	0.065167150017
i	0.00272784025229	0.005895446364	0.012278954006	0.0387279194139	0.609939430032	0.330430373406
</S>	0.00304866867615	0.003358816652	0.006747069653	0.0236675602069	0.336174415016	0.627003436703
