 	pure	che	ti	ho	visto	una	volta	solamente	non	ti	dimentico	mai	</S>
p	0.965466425	0.025760263	0.0084639798	0.00025891822	2.27648225e-05	2.6515989e-06	2.21546335e-05	2.45477755e-08	2.76630685e-06	9.10845865e-09	8.84610636e-08	1.044101903e-08	1.1744620075e-08
ù	0.858289721667	0.116972339667	0.0245176036	0.000153084641667	4.32084251667e-05	7.58361846667e-06	1.34915928333e-05	2.21351636e-08	2.87223131667e-06	9.16591211667e-09	8.6126727634e-08	1.02847376155e-08	1.16133593717e-08
r	0.648608307222	0.305107436556	0.0457870528667	0.000405425458889	6.53424217222e-05	9.17644128889e-06	1.44871772778e-05	8.48361096667e-09	2.71643757222e-06	5.97375393889e-09	2.9115163412e-08	3.52781070066e-09	2.68842908039e-08
u	0.390373923741	0.538560725519	0.0704972532889	0.000495878708296	5.17548685741e-05	7.7469208963e-06	1.15617929226e-05	3.85098773222e-09	1.08370235741e-06	4.78827181296e-09	1.01097363313e-08	1.27525896887e-09	3.19745459463e-08
k	0.18398693258	0.652018698506	0.15257239443	0.0086002178581	0.00243177791419	3.26444226321e-05	0.000356284926471	1.28580239874e-08	7.93939485803e-07	1.51039764377e-08	3.80585533777e-09	7.18099221607e-10	1.82424949327e-07
a	0.09245944086	0.634134162835	0.25800736481	0.0115182415194	0.00334456239473	6.3984742544e-05	0.0004713266069	1.77204678291e-08	6.38577061934e-07	2.08911438126e-08	1.73513712392e-09	5.32891567636e-10	2.32575121988e-07
s	0.0639187302867	0.551001907612	0.33911460827	0.0112196437398	0.0257764661216	0.000455260425848	0.00846630390038	8.6731751511e-07	8.08719912064e-06	2.73955718271e-07	3.4142088586e-08	1.0819795963e-08	3.78179017462e-05
ì	0.0461227425956	0.389069285871	0.49632103609	0.0210867909133	0.0355956907072	0.000592097198616	0.0111496857428	1.1634686477e-06	1.07196268902e-05	3.55806818757e-07	4.5117523162e-08	1.42493798547e-08	5.03463442459e-05
t	0.0404290966985	0.267713388624	0.558861065363	0.0898782609711	0.0380274089024	0.000587448389539	0.0044768085236	5.814643919e-07	7.67113048007e-06	1.56514888919e-07	3.74414296873e-08	4.8767438253e-09	1.80216848792e-05
a	0.0370882318995	0.161571633208	0.512470608454	0.13328309699	0.139204289634	0.0141165272298	0.0022492403622	8.57959063967e-07	7.92972959336e-06	2.5807231964e-07	3.50878334624e-08	1.78501344177e-09	7.24680133204e-06
m	0.0143538316998	0.0681038244027	0.369528486151	0.17115794233	0.347962883211	0.0248975657433	0.0039675158084	7.63048388799e-06	1.64594112978e-05	1.07716490655e-06	2.28257150541e-08	9.2926064059e-10	2.71638648299e-06
i	0.0063967590666	0.0313835458009	0.212200135384	0.18370819911	0.512597747737	0.0490724479144	0.00458458445613	2.63312829627e-05	2.57419547659e-05	3.22939003552e-06	3.87805003514e-08	4.28486654686e-09	1.20777829846e-06
a	0.00289427188887	0.015360416567	0.141409233795	0.09869622637	0.555680482579	0.180322959305	0.00513116467204	0.000415081983654	8.01846912553e-05	8.96999201184e-06	5.72289086784e-07	1.0400925849e-08	4.04147978913e-07
f	0.00141700786296	0.00646138712233	0.0537331987983	0.0577193784567	0.58112546086	0.224082713102	0.0729035948907	0.00173535849455	0.000691436337085	9.61336730039e-05	2.62309122893e-06	9.0677094283e-08	3.16271732016e-05
o	0.000838611987653	0.00325644660744	0.0225388254661	0.0438921561522	0.549323166953	0.282121417701	0.0933795719636	0.00349960739818	0.000933202459028	0.000169458551001	4.98016474298e-06	4.91164931428e-07	4.20959533339e-05
r	0.00234934972922	0.00630548480248	0.0196994934887	0.0318033207174	0.477226868984	0.292845082567	0.142715280988	0.0220603762661	0.00402699836634	0.000326646443667	0.000311840364914	2.44291139105e-05	0.000304841191378
à	0.00312944040974	0.00773574130083	0.0177038954296	0.0310745332391	0.360346026328	0.231704194189	0.230053226996	0.111332266422	0.00534683162211	0.000477024227889	0.000670405804971	3.36487026368e-05	0.000392769257526
s	0.00292890336991	0.00546489460028	0.0114088764099	0.0529539807464	0.313946752109	0.261132501396	0.219273118999	0.127709588474	0.00370858147404	0.000742202189296	0.000511592498324	1.29567294289e-05	0.000206073712909
o	0.0025342641933	0.00401568026009	0.00775286373663	0.0505454929155	0.254658220036	0.423226127132	0.159758025666	0.0791203924913	0.0121972145913	0.0057079526631	0.000333872706108	6.28794589297e-06	0.000143615851653
l	0.00102226136777	0.00160902579336	0.00316689267888	0.0198444276385	0.112981551345	0.440215800711	0.193002764555	0.19964222083	0.0173331708638	0.0103666885544	0.000596282962036	9.58233316432e-06	0.000209289817901
