 	sono	vestita	</S>
ì	0.618818505	0.3804551335	0.00072630955
m	0.644430255	0.351912666833	0.00365705405
e	0.413707785	0.581531768944	0.00476046425
n	0.234250754333	0.757757202981	0.00799206598333
d	0.0940863597777	0.886566300994	0.0193473559944
i	0.0398366512592	0.940567820331	0.0195955296648
m	0.0178079130864	0.968940606777	0.0132515045549
è	0.00702008556213	0.962508048926	0.0304719195183
n	0.00533443255404	0.861652716309	0.133012893173
i	0.00661778258468	0.523209763436	0.470172487724
</S>	0.00692749414234	0.270560318718	0.722512228862
