 	la	donna	vuole	pulire	la	casa	ogni	giorno	per	stare	pulita	</S>
e	0.9867465	0.01247356925	0.00063277663	0.000114303319	3.102360465e-05	1.730696908e-07	1.24575687e-06	6.55700165e-08	4.396074905e-07	5.64688835e-09	2.6141971e-09	1.61219575e-10
j	0.662181899333	0.337122703083	0.000579655536667	5.11566806667e-05	1.90969619833e-05	1.15397533747e-06	1.05073313667e-06	4.96027695983e-06	4.01063333833e-07	4.42429586868e-06	3.13554382259e-05	2.20336387482e-06
i	0.527794865778	0.469172636028	0.00290584197222	4.90121385556e-05	1.65678426611e-05	1.51706812916e-06	1.57098897889e-06	6.89406581994e-06	4.73836104611e-07	5.89634150338e-06	4.18048540743e-05	2.93775049447e-06
n	0.479497703926	0.515424293676	0.00480193232407	0.000204394866185	4.6493213887e-05	2.61793409305e-06	1.73266639296e-06	2.81959457331e-06	2.6719792287e-07	1.96552615992e-06	1.39738910204e-05	1.82159460102e-06
è	0.178042233309	0.803970297892	0.017465546108	0.000447907138728	6.11067562957e-05	3.01637702435e-06	1.71025786432e-06	1.1712692611e-06	2.65250645623e-07	6.5521950267e-07	4.69688042599e-06	1.44954016853e-06
k	0.0769334017697	0.890769955964	0.0300999503693	0.00205959162958	0.000120426862099	1.13971295348e-05	1.29703729811e-06	4.46706792033e-07	2.50484319208e-07	2.18437827892e-07	1.56746773285e-06	1.57269299103e-06
a	0.0319852583899	0.620227032655	0.340504511123	0.00711775934319	0.0001467905147	1.46887449116e-05	1.4329773427e-06	2.64644219011e-07	1.24631653736e-07	7.2850302289e-08	5.24330072846e-07	1.61374396262e-06
t	0.01434504883	0.313868068218	0.581859127041	0.0870938641144	0.0026075771789	0.000218535548704	5.41449534757e-06	7.2675265967e-07	1.08774344579e-07	2.4348171176e-08	1.80092650178e-07	1.35343225315e-06
è	0.00659203297667	0.220757252739	0.65183335568	0.117039383038	0.0034796841763	0.000289769634235	6.28229258252e-06	8.21023424557e-07	7.32996705263e-08	8.17381878707e-09	6.53495933527e-08	1.26666564421e-06
l	0.00839013945889	0.133781480913	0.72060801856	0.133320382679	0.00354549937543	0.000341552429412	1.12007329942e-05	9.40116946186e-07	1.65531962509e-07	2.73531794543e-09	2.31158999776e-08	5.85615394562e-07
i	0.00901319887296	0.0904445369043	0.507924116187	0.383714554226	0.00817684812514	0.000631551353137	9.05158069981e-05	3.53514598206e-06	7.47673820836e-07	6.99645463648e-09	9.2190117492e-09	3.59068442087e-07
n	0.00388725591099	0.0334764532348	0.314854682062	0.619171498075	0.0262404567084	0.00202261226105	0.000322214372333	2.0968318994e-05	3.64755054028e-06	8.48041596216e-09	9.4234591064e-09	1.38481567929e-07
a	0.00212399837033	0.0144193469449	0.206070350687	0.698599616025	0.0709494129028	0.00499074908702	0.00271834679078	9.90295906647e-05	2.89752225134e-05	3.24777277374e-08	1.79560443688e-08	6.61432309763e-08
p	0.00159120052344	0.0138115388483	0.113310220229	0.694058022008	0.140827750968	0.0291096373623	0.00653740893026	0.000556627323555	0.000108400287504	4.22107332458e-08	5.18747653812e-06	8.39252056887e-05
u	0.00140738170781	0.0136560837161	0.0635061554097	0.670227774003	0.193815330323	0.0442031497874	0.0119310496434	0.000897122027852	0.000233665015835	2.48604021175e-06	7.52621091271e-06	0.000112243236163
l	0.00353195786927	0.044465783672	0.0512332828032	0.599010344668	0.224803466774	0.0440505705958	0.0250040502145	0.00279210512928	0.00134457886194	3.31047049592e-06	0.000295085556371	0.00346544841965
i	0.00429974101309	0.0546871201707	0.0414280766011	0.481311468223	0.294064778925	0.0619952068653	0.0509288110715	0.00408900297643	0.00219125258731	2.4737295424e-05	0.000393091067457	0.00458668602822
z	0.00228535489436	0.0304116583369	0.026205412867	0.396760969408	0.349464026308	0.100784555622	0.0759479803572	0.00808791542548	0.00371669316244	3.1890851498e-05	0.000772686861152	0.00553083789774
z	0.00230076036479	0.0241004852123	0.0258442126223	0.385790396469	0.325823995436	0.142914045207	0.0705122867857	0.0109495344752	0.00481688265415	2.49408011893e-05	0.00105828896705	0.00586417579258
è	0.00193427215493	0.0105229822708	0.0242478138741	0.46999932549	0.289324011812	0.150553211736	0.0417993049286	0.00621761728507	0.00287466791805	2.31561729631e-05	0.000520412829017	0.00198321409919
s	0.00333086418498	0.0192952475236	0.024718697958	0.436512958497	0.278386067271	0.206250327245	0.0257482409762	0.00336588142169	0.00125610903935	8.2876003177e-06	0.000186664509672	0.00094063027473
s	0.00379617103833	0.0221205019079	0.023969143986	0.373051112832	0.299896452424	0.241095349082	0.0303089549921	0.0032500044739	0.00155896531312	7.94302778692e-05	0.000113437376557	0.00076045632491
i	0.00171841462278	0.00786237798597	0.0130597955287	0.267373309611	0.272151804141	0.187483669694	0.220169649664	0.0156772862913	0.012377651771	0.00158684449262	9.19748511857e-05	0.000447219291637
o	0.000876806580927	0.00266799822632	0.00564773100957	0.101146394537	0.20437630138	0.173803416565	0.438778176555	0.0405641877638	0.0298226109237	0.00202261483154	0.000124091609395	0.000169660229179
s	0.00107411643364	0.00283710388977	0.00526606046986	0.0493754518457	0.207445463793	0.295477578855	0.363353125518	0.0448380545879	0.0292940549746	0.000684288366033	0.000191803686465	0.000162882065026
p	0.00154861797788	0.00333018009659	0.00615677598995	0.0437748466152	0.224312184598	0.382616532952	0.259368045173	0.0343441018626	0.0403201346582	0.00332458977686	0.000551627845488	0.000352353328342
