 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
o	0.4969528297	0.48803440535	0.011813305565	0.0008553412	0.00015344053	0.00219042088	2.26799119e-07	1.8348692e-08	4.70274805e-09	2.05718537e-10
l	0.167685612467	0.622833691783	0.143789034188	0.0321746476	0.00287949911	0.03042603398	8.405256779e-06	2.1400782811e-05	0.000136504357646	4.51728549554e-05
ì	0.119515250256	0.483292970594	0.276237581396	0.0625863982	0.00754346470333	0.0505386613267	1.48749492597e-05	2.85459895203e-05	0.000182003998909	6.023070233e-05
k	0.127058746752	0.345486033531	0.224870137132	0.259442465067	0.00946664590111	0.0335692431089	9.73005365323e-06	9.91274445677e-06	6.1164894963e-05	2.59235031216e-05
o	0.105283552251	0.282997121177	0.252301232377	0.333622141689	0.0086002268337	0.0171510751396	5.62525578441e-06	3.69766998892e-06	2.08837879424e-05	1.44874703427e-05
e	0.076390401417	0.271216043726	0.361533810792	0.232300453896	0.0523603094779	0.0061782952832	7.6271695948e-06	1.31028279964e-06	6.9643134646e-06	4.8291657525e-06
n	0.027941801459	0.148001379909	0.269464260264	0.434408267965	0.105261893159	0.0148770072277	3.27542478649e-05	6.24898393321e-06	3.98894365063e-06	2.47557602022e-06
p	0.0261731208063	0.0865164219697	0.142513193421	0.577286252655	0.142746511053	0.0240422264092	0.000572811761288	0.000121760291978	2.60065902169e-05	1.74696766674e-06
r	0.0316870552688	0.0911336323232	0.134529004474	0.485293750885	0.219594687018	0.0310586161364	0.00451213912043	0.000988368043993	0.00120107347674	1.68821358225e-06
a	0.0196194674229	0.0623135571077	0.102756894825	0.342730083628	0.428363762339	0.0327673077121	0.00868844204014	0.001185078678	0.00157366602391	1.73787666075e-06
t	0.011281925141	0.0302055903692	0.0568771249417	0.303383541209	0.54755012078	0.041937514904	0.00755139928005	0.000563222782667	0.000566557076303	8.29884895536e-05
ì	0.00591551326367	0.0169476646897	0.0354448619806	0.277351923736	0.598448756927	0.0545326763013	0.0104302380267	0.000494385240889	0.000322170915434	0.000111823607018
m	0.0152546753046	0.0223722744632	0.0403057543269	0.229758444579	0.614803902309	0.0581125701004	0.0174292776756	0.00127387856696	0.000529916025145	0.000159322776173
à	0.0188442252682	0.0242228048211	0.0389480804423	0.187807141526	0.58727015077	0.0699425433668	0.0694507832252	0.00228166865565	0.000930524841715	0.000302072572058
i	0.00783324492273	0.010079485807	0.0171712501474	0.0813345255087	0.46790843359	0.128320741122	0.279878327742	0.00601271735188	0.0012299127139	0.000231366808253
n	0.00481069007424	0.006618568469	0.0112979967158	0.0427055391696	0.243792277863	0.217733170374	0.441956799247	0.0285207881173	0.00234420043797	0.000219978980318
e	0.00293644196475	0.00434913595633	0.0076511994186	0.0283497802565	0.133275345288	0.240081436791	0.508855639749	0.0649812960391	0.00927471127932	0.000245018420106
m	0.00299727059492	0.00382281831878	0.0057705199862	0.0212712372855	0.0874332777627	0.176157725597	0.54999592325	0.10006869868	0.0502320537598	0.0022504913167
m	0.00312645508831	0.00370016591626	0.00516100202873	0.0194221918285	0.0678389575876	0.086422831199	0.40534299775	0.119349736227	0.277414341253	0.0122213384389
è	0.00164165035277	0.00181237588209	0.00262436050958	0.0092347974095	0.0533380308625	0.056458339733	0.40397122925	0.0950538320757	0.334302067084	0.041563306813
n	0.00478024298426	0.00449379559403	0.00586212796986	0.0155948888698	0.0714335156208	0.0651205065777	0.509078193083	0.0927781573586	0.181563362361	0.049295191271
o	0.00587485826142	0.00540340876468	0.00671007148995	0.0159538863899	0.0553708712069	0.0680357001926	0.499654487694	0.151575385786	0.148041470787	0.043379860757
m	0.00305828215381	0.00287619602156	0.00348921549665	0.00797500732997	0.0290179954023	0.0565419677309	0.404774185898	0.211403208595	0.241019776929	0.0398441795857
i	0.00175852475127	0.00171646900719	0.00209716733222	0.00519304034332	0.0184244401341	0.0445296889103	0.366043975299	0.219255862865	0.28552674231	0.0554540911952
n	0.00116876001709	0.00147734703573	0.00204081227741	0.00458736458111	0.0206324490447	0.0607224296368	0.485026238433	0.181286547622	0.17884355577	0.0642144870651
a	0.000922815605697	0.00135725634524	0.00197981380914	0.00429504666037	0.0187871818816	0.0563118412123	0.393371459478	0.166033799207	0.297429000257	0.059511792355
l	0.000841355835232	0.00127558398175	0.00180682915305	0.00565311235346	0.0151963561605	0.0356014017374	0.225844753159	0.188530126402	0.455660143419	0.0695903474517
i	0.000824068288411	0.00124772999392	0.00173305786435	0.00611409151115	0.0139678694868	0.0250649835791	0.160016991053	0.166014038801	0.41332220114	0.211694992484
p	0.000509696662804	0.000841587897973	0.00122135590145	0.00489311889705	0.0133864755956	0.0209049108597	0.153554633684	0.149532876267	0.387807483713	0.267347900828
ù	0.000385045210935	0.000683747005991	0.00104217172382	0.00450500008235	0.0129234819652	0.0182406856199	0.136902347228	0.122082348756	0.304799334571	0.398435870276
n	0.000285959863645	0.000413370718664	0.000591474854607	0.00214390314412	0.00520037805507	0.00889525493997	0.0570373774093	0.0829159829187	0.36427132819	0.478245006759
a	0.00143938604788	0.00136351231622	0.00133537927487	0.00163680108137	0.00355125731836	0.00598560904666	0.0292071034698	0.0698003236396	0.387697806063	0.49798283892
</S>	0.00261592027394	0.00236530425811	0.00217297163743	0.00141366509069	0.00364386465918	0.00616988402333	0.0226997547349	0.0457319508198	0.254325673031	0.65886099946
