 	vengono	vestiti	</S>
è	0.498911965	0.497451255	0.00363679475
r	0.191934035	0.803908251667	0.00415771288333
k	0.108540348333	0.874324270556	0.0171353860611
u	0.237007889444	0.732468140185	0.0305239620204
t	0.256383798481	0.709348610062	0.0342675640068
t	0.114669784827	0.643034983354	0.242295213336
e	0.0597262777757	0.375178231118	0.565095471112
n	0.0223519186719	0.516258713706	0.461389385371
d	0.0233797194706	0.700931217902	0.275689110124
i	0.0315786768235	0.580525742634	0.387895590041
m	0.0234360442745	0.666289070878	0.310274871747
è	0.0183688507582	0.595997053626	0.385634065649
n	0.0684003045861	0.315222651209	0.616377021883
a	0.089327373862	0.183969994736	0.726702623961
</S>	0.059609895431	0.104962158868	0.83542793698
