 	che	vende	buon	pane	</S>
k	0.96447193	0.0135182215	0.0026738460775	0.008498999465	0.0108369739258
a	0.92468583	0.0490607398333	0.00613951135917	0.00927639928833	0.010837468558
i	0.616000295667	0.278871736611	0.0963001857864	0.00521463956278	0.00361309325769
p	0.223920537222	0.32136693087	0.401821161929	0.0444585028543	0.00843288024152
u	0.114724595407	0.35645846229	0.446021873976	0.0727398059514	0.0100553031652
l	0.0777419909857	0.363508375863	0.501137427992	0.0467186636505	0.0108935298064
ì	0.0311732153452	0.202357357054	0.726746759331	0.0284587372168	0.0112639218855
t	0.0219993032817	0.172424165685	0.762760036444	0.0292403577389	0.0135761485785
s	0.0161146578939	0.104131475228	0.597683462148	0.205324295246	0.0767460915262
o	0.0265771804313	0.0621665667427	0.266724319716	0.487092175082	0.157439730509
m	0.0309033684771	0.0380621719142	0.342513915572	0.463848435027	0.124672087503
ì	0.0136901191924	0.0268720696381	0.404469939857	0.478880278342	0.0760875698343
k	0.0082239324308	0.028342917546	0.302804327952	0.596662372781	0.0639664536114
a	0.00683679447693	0.027316537632	0.228199918301	0.55412290426	0.18352384487
l	0.00340907772564	0.011836304494	0.325169605084	0.430396568087	0.22918844329
ò	0.00171716772855	0.00656356938467	0.357989368461	0.280550566029	0.353179336097
</S>	0.00100649574427	0.00357713627233	0.18000111438	0.242740398015	0.572674843049
