 	che	consuma	poco	benzina	</S>
n	0.9671946	0.0322378618	0.000567034725	4.08599745e-07	5.743176e-08
a	0.782066743333	0.145235643133	0.0726967828417	7.70878868333e-07	3.92460624e-08
k	0.390846221978	0.457375527711	0.149650164281	6.69127441561e-05	0.00206119733365
o	0.155383779526	0.697829475904	0.143945546427	9.27472707187e-05	0.00274847997682
n	0.0798747441753	0.798623025301	0.112436373809	0.00733815536291	0.00172773319121
s	0.0528277230584	0.857011041767	0.0787800879363	0.00992338398764	0.0014578199404
u	0.0589660580195	0.798905113922	0.137717852645	0.00382355932921	0.000587463288133
m	0.0570354476732	0.742009084641	0.180737294215	0.00293948724307	0.0172787178607
è	0.0455664158911	0.708166941547	0.218528718072	0.00478205128102	0.0229558863036
t	0.13134792863	0.585446373849	0.264894882691	0.00628724362701	0.0120235251179
s	0.170219522877	0.400225784616	0.38540439423	0.004339353899	0.0398108810393
i	0.0870025756257	0.199985808205	0.654155664743	0.00250700178967	0.0563489070131
a	0.0400264676719	0.0732887686217	0.809891644914	0.0465018303966	0.0302912689897
l	0.0159757090206	0.0473964154272	0.637995031638	0.269719456799	0.0289134029819
ì	0.00807510161687	0.0394399234757	0.304067640546	0.598036608933	0.0503807326606
o	0.00440920538229	0.0160885846586	0.157956470182	0.758729742978	0.0628160025535
b	0.00308219460743	0.0078890334862	0.101245954394	0.819003664326	0.0687791908512
e	0.00279621634914	0.0046079445954	0.053939263798	0.681077871442	0.25757871695
n	0.00307421188305	0.0050949810318	0.0372493939327	0.654607240481	0.299974172983
z	0.017111962161	0.0195255875106	0.0441819759776	0.54688730516	0.372293191661
ì	0.021540200787	0.0226375805035	0.0449731293259	0.346119513387	0.56472959722
n	0.0239887716623	0.0293893638345	0.0547269371086	0.285653765129	0.606241199073
a	0.0290946482208	0.0341143502782	0.0620044270362	0.109145924043	0.765640699691
</S>	0.0212279006104	0.0213036586391	0.0390982405181	0.0598925545215	0.858477699845
