 	entrò	da	qui	</S>
m	0.996389165	0.003357105119	2.14783505e-05	0.0002322541
b	0.993917065	0.00555391878567	0.000109490983833	0.00041948699
ì	0.751041131667	0.244328496595	0.00394626474128	0.000684067663333
k	0.667291207222	0.324081936532	0.00526686337376	0.00335999192111
e	0.548820854374	0.444943949844	0.00229205705125	0.0039431232437
a	0.185372267425	0.800380633281	0.0127991004837	0.0014479795979
p	0.395762619808	0.586953970827	0.0162469327279	0.00103647801263
ò	0.506401349936	0.363983366676	0.118444773476	0.0111705232375
t	0.533869479979	0.293936209225	0.153593200025	0.0186011340792
t	0.50144496126	0.105573776742	0.143718212208	0.249263057026
u	0.167993184733	0.040978657914	0.208330784069	0.582697352342
</S>	0.0840641869365	0.024825997457	0.208164747034	0.682945026171
