 	il	medico	mi	ha	detto	che	non	devo	mangiare	dolci	perché	mi	fanno	male	a	me	mi	piacciono	e	li	mangio	</S>
o	0.562848985	0.15163248215	0.254871635	0.0019425452	0.0135275025	0.000672901614	0.0145031359	2.59703975e-07	3.03243085e-07	3.74969445e-09	4.23961155e-09	1.51876813e-09	7.6336807e-10	2.5612969e-10	3.3248217e-10	8.0098592e-10	2.0796363e-10	4.99899194e-11	2.4155873e-10	5.8897183e-10	2.57535215975e-07	9.039106e-10
m	0.242004019617	0.432695510717	0.300788148333	0.00178432436667	0.0082147961	0.000699758178	0.0137169588633	1.67744304167e-06	2.80154151667e-07	1.52639861167e-08	1.56364614167e-08	2.50922922633e-08	7.96453477e-09	7.384026125e-08	2.3040615527e-07	2.7771549542e-07	5.38705938687e-07	1.08097110202e-06	1.32044989004e-06	2.75892962037e-05	3.29381550187e-05	3.04501179338e-05
e	0.163202024489	0.636655130239	0.189455296111	0.00210871018889	0.00335755253333	0.000449938832667	0.00464304159777	2.24392714722e-06	2.60557083889e-07	1.86779525189e-08	1.81694624289e-08	3.29359182244e-08	1.03237771243e-08	9.83428814282e-08	3.07025731653e-07	3.69964405528e-07	7.1818117832e-07	1.44124642531e-06	1.76041307438e-06	3.67851730548e-05	4.3660277539e-05	4.05996679141e-05
s	0.137896214496	0.715797386746	0.136821158704	0.00255657632963	0.00410839441111	0.000483738020889	0.00229191317926	2.04665908241e-06	2.32836241296e-07	6.41945123963e-09	6.26495645963e-09	1.13951294781e-08	3.62608525577e-09	3.27878248956e-08	1.02696276081e-07	1.23425837824e-07	2.39508646611e-07	4.80416787731e-07	5.86833835925e-07	1.22618753831e-05	1.45555963606e-05	1.39177216075e-05
s	0.092893537832	0.741238762249	0.137102169568	0.0100823285765	0.0162204558037	0.000471542510296	0.00197374789309	2.70404862747e-06	2.37230167099e-07	2.20980472654e-09	2.12540930554e-09	4.19700908137e-09	1.38858149859e-09	1.09341444868e-08	3.45567731016e-08	4.12311593196e-08	7.99494123015e-08	1.60139317235e-07	1.95636979575e-07	4.08743850577e-06	4.85379011501e-06	5.02373892196e-06
è	0.081953171944	0.588167127416	0.290359216523	0.0189125441922	0.0190337136012	0.000352719196765	0.0012142335977	2.11523522916e-06	3.13627582366e-07	1.62670720218e-09	1.14195492751e-09	1.88718104912e-09	5.7994291953e-10	3.64783617788e-09	1.15414572718e-08	1.37616007725e-08	2.66514775547e-08	5.33797744611e-08	6.52128386231e-08	1.36247951463e-06	1.61793051005e-06	1.67457966019e-06
r	0.0430406419813	0.474306609139	0.440276328841	0.0259566493974	0.0152666892004	0.000317137525588	0.000832323399233	1.65025002972e-06	3.65384967455e-07	1.44259907973e-09	8.2434788917e-10	1.16255003304e-09	3.7540107651e-10	1.21969796573e-09	3.9140559206e-09	4.6218872485e-09	8.8922654359e-09	1.77932647752e-08	2.1740051167e-08	4.54163282674e-07	5.39388259283e-07	5.70361481141e-07
e	0.0272452267604	0.31166502338	0.56773834628	0.0614588397991	0.0295914934001	0.00143629940186	0.000857157349744	6.46017197657e-06	6.35247075818e-07	1.96048457224e-09	6.5437847639e-10	8.3084182768e-10	2.41481735503e-10	4.0928830801e-10	1.3999567702e-09	1.5683817815e-09	2.9721627393e-09	5.93112181409e-09	7.24928267387e-09	1.51391242861e-07	1.79874226086e-07	2.02288754728e-07
m	0.0137297983535	0.148017954793	0.59327262876	0.159730373266	0.0720096751334	0.0111963668006	0.00195354469991	7.85378579922e-05	1.09057619919e-05	4.09986529075e-09	1.1947420588e-09	3.65550010923e-09	5.3137455385e-09	1.50953476003e-10	1.8379805534e-09	9.297564825e-10	1.1146028391e-09	1.97709377397e-09	2.43480288296e-09	5.04829521216e-08	6.08658633202e-08	1.24566998257e-07
u	0.00852440611783	0.0969758982643	0.519179826253	0.233345051089	0.114909358378	0.0235642889335	0.0032409696333	0.000232466182664	2.7535764664e-05	6.28286367636e-08	9.41920095293e-09	2.16046877031e-08	7.77196851283e-09	1.30852687001e-10	3.41080505113e-09	1.05426239417e-09	5.78821926367e-10	6.60092035628e-10	8.55146610987e-10	1.68508488762e-08	2.12172208601e-08	9.86597669291e-08
p	0.00716181603928	0.182405379421	0.453661832084	0.178268103696	0.107080386126	0.0545953469778	0.0154834514111	0.000574326634221	0.000748090398888	3.10233408921e-07	6.91673543176e-08	3.95593215901e-07	4.71635977504e-07	1.06861423233e-09	1.32846887017e-07	3.79817473981e-08	1.83828778088e-08	2.28786963209e-10	2.724302647e-09	1.11391133931e-08	1.46954154173e-07	1.96739316098e-05
e	0.00560688807976	0.202358370807	0.292700467361	0.160243507899	0.179972455375	0.131703080326	0.0235773798037	0.00249804791141	0.00130952393296	2.04025679297e-06	1.76829988106e-07	7.24073628634e-07	6.33925944501e-07	1.85176304411e-09	1.86821647006e-07	5.25571981327e-08	2.51048920363e-08	8.9690826403e-11	3.51875078233e-09	9.2708630277e-09	1.89105507844e-07	2.61990224306e-05
k	0.00284030129325	0.143349134602	0.18579966912	0.166323332633	0.208716927125	0.249534683442	0.0313395616012	0.0049581392038	0.00710648571099	4.96108366432e-06	6.58053742702e-07	2.52654209954e-06	4.25732386683e-06	4.43827678137e-09	6.70482487002e-07	1.24993498378e-07	4.81355884454e-08	4.61598194677e-11	5.67090262744e-09	7.91910057257e-09	3.13430619068e-07	1.81665680375e-05
a	0.00158028479775	0.121596431034	0.11820379104	0.131381734211	0.211117464375	0.355404911147	0.0385496562004	0.0115511493013	0.0105688879037	1.81370043881e-05	1.17943754757e-06	3.94106343318e-06	5.49619029561e-06	6.92707692712e-09	8.66794575667e-07	1.55758896793e-07	5.86316254818e-08	4.20263844892e-11	6.88466780915e-09	7.60783720419e-09	3.55375046023e-07	1.54890849382e-05
e	0.000964027082583	0.0423876180113	0.05469110868	0.101071560737	0.242330741458	0.418068617049	0.0795424544001	0.0266516701004	0.0340082356346	0.000263330559129	5.46527688252e-06	7.34383071106e-06	2.06482602854e-06	1.01199259757e-08	3.67775188556e-07	7.7067842931e-08	2.62235884939e-08	3.10223781631e-11	3.64165700305e-09	2.73869422806e-09	1.25169508008e-07	5.16303093822e-06
