 	se	avevi	visto	tempo	il	tempo	non	fossi	venuto	che	ti	bagna	tutto	</S>
a	0.93460977	0.0014589669	0.06270301815	0.000107462973	0.000388718328	2.2403367e-06	0.000729517465	6.1854849e-08	5.74603312e-09	8.841186e-08	5.8084723e-08	4.144609645e-08	1.0143373715e-08	1.46839965e-09
n	0.603819657035	0.3327314835	0.06266476315	8.1061308e-05	0.0001373655451	3.02655256667e-06	0.000561905251	2.83955459667e-07	5.83572769333e-09	6.8809232e-08	6.24652996667e-08	4.45564819833e-08	2.23224101905e-07	3.21480181167e-08
ì	0.201392984797	0.762299727833	0.03587113015	0.000145688137667	4.75958193767e-05	2.75672238556e-06	0.000239363371	3.24185012089e-07	2.12247305508e-09	4.20383731333e-08	3.56954560222e-08	1.82186798911e-08	2.87542009905e-07	4.16518698792e-08
c	0.0673295278057	0.883466942611	0.0487277453833	0.000295265949222	2.02071265356e-05	1.95338925852e-06	0.000158058078333	1.12273663896e-07	7.13906417993e-10	2.46311581778e-08	1.39816198074e-08	6.15205342703e-09	9.6163548105e-08	1.64604664667e-08
h	0.0337678057252	0.818480147537	0.135321688461	0.00867657390974	0.000863993895012	3.08063510862e-05	0.00285565164611	1.12411532299e-07	1.192806835e-09	2.32396777939e-06	8.27704046936e-07	1.27923868757e-08	3.2741585035e-08	8.09339605023e-09
e	0.0226727742417	0.489477547179	0.471508646154	0.0114333826466	0.001150136975	3.94705805687e-05	0.00371375215294	1.0840974195e-07	1.34941084167e-09	3.08019799275e-06	1.09722972504e-06	1.49613983629e-08	1.13077185526e-08	2.72810991842e-09
t	0.00783317742057	0.19465289206	0.725729315385	0.0647857878922	0.00539129776833	0.00017629564373	0.00142935192188	3.98374191833e-07	1.51763090439e-08	1.10283662387e-06	3.68418096403e-07	5.0899387253e-09	3.82596544181e-09	4.09545066465e-08
o	0.00272398088019	0.127165635687	0.771352101795	0.0908233069641	0.00701422172278	0.00022535414241	0.000694264220627	5.06733862611e-07	1.9962614338e-08	4.4866206529e-07	1.31592181801e-07	1.98519474177e-09	1.33405747927e-09	5.36966606945e-08
r	0.0010034864334	0.239514245229	0.582693677265	0.169107093321	0.00370774717426	0.0017290815753	0.00223114905354	4.59429925287e-06	5.19027927693e-08	6.55369408576e-06	2.296996116e-07	2.42733831392e-09	1.65199744176e-09	2.07629277538e-06
ì	0.000399053694467	0.284317585076	0.268331959088	0.43905541444	0.00276879335809	0.00237051994843	0.00273831464318	6.66063958429e-06	6.25588359564e-08	8.61548346525e-06	2.58822206533e-07	2.41829332797e-09	1.75605607147e-09	2.75049189844e-06
s	0.000451775191489	0.151339878359	0.207325569696	0.609381088147	0.0267564889527	0.00303426583948	0.00169745690639	7.79473536143e-06	1.63051560352e-07	4.35624892508e-06	1.20047089511e-07	1.13427953266e-09	6.1834848471e-10	1.05648840612e-06
o	0.000713554547163	0.0692785176863	0.237989096565	0.504278402716	0.181313546318	0.00458375461316	0.00182908213546	9.71152878714e-06	2.67710990117e-07	3.17801940836e-06	3.7501088117e-07	1.83348468109e-08	3.70165664903e-10	4.91820703914e-07
n	0.000534561169054	0.0307553914621	0.186925472188	0.479031174239	0.265121695439	0.0324577204377	0.00509924881182	5.7474253929e-05	2.84858956706e-07	1.57132485695e-05	1.02723884706e-06	2.87000626036e-08	5.89353954968e-10	1.81013104512e-07
t	0.000601871676351	0.0260969098207	0.0995519940627	0.641516074746	0.181925517146	0.0436067168126	0.00657299733727	8.72931079763e-05	3.47351717557e-06	3.33173781898e-05	3.54978091569e-06	1.92348226868e-07	8.11434918323e-10	7.7788015804e-08
a	0.000754557392117	0.0208807097736	0.0667816323542	0.514798688249	0.350797651049	0.0382696842709	0.00747132717909	0.000201065562659	5.95416462519e-06	3.03710643966e-05	7.77807730523e-06	5.53969992289e-07	5.19353167277e-09	2.63580452013e-08
c	0.00146384033071	0.0112403050912	0.0535616251181	0.289163349416	0.51445881035	0.11652982009	0.0122052280597	0.000711471110886	8.56553534417e-05	0.000540671249799	3.05762071017e-05	7.20767790763e-07	1.63312652243e-08	7.9123377087e-06
e	0.0016382892769	0.00864976249707	0.041655179706	0.242748996472	0.488417716783	0.19918564003	0.0143582063532	0.00237462533696	0.000119823867147	0.000765861209933	6.95051590339e-05	5.39226874025e-06	3.90874386075e-07	1.05996409029e-05
r	0.000790858925633	0.0304148576324	0.0221691775687	0.325986072157	0.340722459261	0.25967418001	0.0147243014511	0.00454867234565	5.0947502049e-05	0.000811955129978	8.19869130113e-05	6.82929497008e-06	5.17068519358e-07	1.7160403301e-05
ò	0.000420896315211	0.0381929278775	0.0111214351896	0.311199050719	0.132546849087	0.44766683667	0.0125247131504	0.0453091133485	7.39890243497e-05	0.000861780253326	5.99098766704e-05	2.93187574669e-06	1.92006103786e-07	1.93350720003e-05
o	0.00017947257307	0.0163185367592	0.00456947549653	0.133167166906	0.0858333606957	0.587545212223	0.0701701423835	0.100887717783	0.000182365968117	0.00100425692778	0.000125586021223	1.00077292822e-05	1.33764144595e-07	6.49186352013e-06
c	0.00011993921569	0.0075639988864	0.00294632809884	0.0532216449687	0.0648457302319	0.647969304074	0.0949444651278	0.111189314594	0.00136177382271	0.0150658368426	0.000625987640408	1.48329210941e-05	6.42452451532e-07	0.000130150502127
e	0.000154182678563	0.00418566459547	0.00264078963295	0.0267902283229	0.0966394714106	0.629735911358	0.0897664593759	0.124233940198	0.00239979827424	0.0213520311142	0.00165310151347	0.000240755889031	2.84774294172e-05	0.000179205210709
r	0.000171047439521	0.00823694866516	0.00195202251098	0.026858743441	0.0994900561369	0.630696947119	0.083478263792	0.133012420066	0.00157741138475	0.0123434085381	0.00171383550449	0.00031458435401	3.74074751857e-05	0.000116948360236
ò	0.000113705716507	0.00974516728839	0.00121411310699	0.0240831594803	0.035743832279	0.529649955706	0.0377644115973	0.348877176689	0.00234212042158	0.00924355137937	0.000988255801497	0.000130853267337	1.31414176752e-05	9.05849646453e-05
e	5.5610934169e-05	0.00445495042946	0.000543977638997	0.0093223368601	0.0151969373263	0.285596515235	0.107483810199	0.554789968896	0.00450991094053	0.0157546769931	0.00198212356717	0.000269614614112	7.1410145584e-06	3.24477230868e-05
n	3.15039833897e-05	0.00259190434315	0.000321991179666	0.00394806732003	0.00825657970877	0.265033328412	0.135628140066	0.523939856299	0.00483023878018	0.050950122331	0.00402200485572	0.000331744024704	7.09793978613e-06	0.000107427178001
ì	1.38244270066e-05	0.00138391170605	0.000164811428222	0.00177757551668	0.00365974307626	0.223269316137	0.0678464846887	0.6353463521	0.00519720312673	0.057173563777	0.00373255381857	0.000294011271568	7.21262292871e-06	0.000133439180134
c	9.31586354553e-06	0.00174927229368	0.000127824917741	0.00157915781556	0.00187685973209	0.189675992046	0.0432217202296	0.720417367367	0.00731586124224	0.0311407225923	0.00239315903952	0.000368321107189	1.29739168096e-05	0.000111457870845
h	0.00863141961985	0.0627840661646	0.0225181181459	0.0158348961719	0.0279319207107	0.182210162015	0.0416813450765	0.542291152456	0.0472324937474	0.0368229735308	0.00655434557984	0.0039309370424	0.00083538825527	0.000740760030282
e	0.0122666788733	0.0841801328215	0.0310268294486	0.0199435100773	0.0386025355702	0.0877409303383	0.0755576693588	0.303092084152	0.0635290869158	0.108550653844	0.111705676193	0.0499331963475	0.00929783581842	0.00457313641009
è	0.00486633370777	0.0315395586072	0.0115316310429	0.00737985054577	0.0158094070901	0.0516267774461	0.0892449031196	0.391619864717	0.0320557059719	0.139185657948	0.146118516398	0.0624918245492	0.0113132670685	0.00521666247803
r	0.00184896180259	0.0128455431691	0.0048062005743	0.00364266568192	0.0102097702634	0.0427913981487	0.0669856810399	0.398195880239	0.169126949991	0.170196769316	0.079132506466	0.0333163406164	0.0042713859185	0.00262994983401
t	0.00084697834253	0.00547583782637	0.0025297377581	0.00206644671731	0.0088663869878	0.0245621860496	0.0491407370133	0.169197035413	0.447344736664	0.185263523105	0.0622309521553	0.0363310735388	0.00276907927283	0.00337531281134
o	0.00030892139251	0.00186122091346	0.0008977681037	0.000793160756103	0.00398444636927	0.0125989196265	0.0420667063378	0.0835137878043	0.388538342455	0.136128567702	0.160598274052	0.142403574513	0.0216056076243	0.00470074467045
n	0.000115046275503	0.000698728179153	0.0003264182029	0.000320610092368	0.00168556962976	0.0112888601522	0.0575527427793	0.101667371935	0.165119257718	0.217876482567	0.221015821351	0.188754158171	0.0297579742081	0.00382099965682
t	0.000146112523168	0.00130986633305	0.000326228694967	0.000482570690789	0.00177128034325	0.0146765373841	0.0570785329264	0.141098377312	0.191642072573	0.282081570856	0.151190097117	0.141427436057	0.0145595150694	0.00220984305227
a	0.000158546403723	0.00145824083602	0.000321618178989	0.000490089025596	0.00162713191608	0.00912926547137	0.0333146363088	0.0884566844373	0.168992399358	0.211216000285	0.169635682372	0.271432512019	0.0382958396898	0.00547140728409
n	5.87500565743e-05	0.000626617103673	0.000135529883663	0.000233405593865	0.000856333123693	0.00797103316712	0.0283668871029	0.0732362534791	0.115264518286	0.251366206762	0.178475950791	0.28925164734	0.0467150188966	0.00744184762803
a	2.28159097014e-05	0.000347810594558	6.90810468877e-05	0.000146818049955	0.000576576006231	0.00791306318904	0.0295817210343	0.085837794493	0.0979347570953	0.271575045587	0.155880343597	0.28446991578	0.0563768919655	0.00926733607601
s	4.29109180771e-05	0.000903091691519	0.000206273947963	0.000317153598652	0.00139846898374	0.00960780919635	0.0304852983448	0.0768052334977	0.108562386698	0.291082375196	0.144968321199	0.268650983593	0.0576532842218	0.009316416092
e	4.9446436109e-05	0.00107985524817	0.000251173730188	0.000372086953751	0.00166352109525	0.00991447663212	0.0274379464483	0.0643792431659	0.111602322799	0.283387095065	0.1266494584	0.280851132864	0.0712969716406	0.0210652934307
g	5.4037635453e-05	0.000711721667057	0.000216572504263	0.000341467338784	0.00105929379908	0.00805075077737	0.0160857941494	0.0737176510553	0.1264559215	0.261775038355	0.119191644133	0.283164787621	0.0793314738802	0.0298438584769
r	6.42792668177e-05	0.000666183349019	0.000225812551421	0.000376308346261	0.00102829763303	0.00903796225912	0.0106523028831	0.122390660352	0.1870319005	0.252425019452	0.0930800013777	0.137899567874	0.111436754627	0.0736849228256
à	4.89208039392e-05	0.00102113364301	0.00013503557714	0.000266339988754	0.000592535647677	0.00553360351971	0.00633313726103	0.118135180117	0.128798674833	0.121640424484	0.0540572667926	0.089730626958	0.128424800876	0.345282314275
n	0.00053217827798	0.00535728221434	0.00121182768238	0.00119727866958	0.00274356075256	0.00680750360657	0.00738794655368	0.0706008943723	0.175292572944	0.135766322828	0.0648766285975	0.079891607986	0.0597605306253	0.388573923425
i	0.00073456197266	0.00620484960478	0.00159498482746	0.00142798978186	0.00346293211752	0.00662389861219	0.00799985298456	0.0367359457241	0.181975988315	0.137154223609	0.0960627061992	0.142256879329	0.107184694542	0.270580526475
ò	0.00031813165322	0.00411635520159	0.000660571689153	0.000842858019287	0.00137453011917	0.00867652328073	0.0117557161282	0.116861168508	0.0678680697717	0.11643598387	0.1141065054	0.185621946443	0.132718597514	0.238643053492
l	0.00030454661674	0.00550315920053	0.000845529909718	0.0012757920731	0.00194898425306	0.0127175884269	0.0168268847094	0.151174832836	0.0856986995906	0.164679634623	0.124341935133	0.175684615481	0.100668815171	0.158328972497
o	0.000305433258913	0.00408005831351	0.000863351785239	0.0010777563017	0.00203015022102	0.00768675634097	0.0106476343698	0.058886968812	0.0849236143302	0.122073709541	0.0988682793777	0.164455321827	0.161734981724	0.282365954166
</S>	0.000180829684456	0.00210793152676	0.00046556446562	0.00055379386685	0.00106923731551	0.00390411846849	0.0058641888849	0.030112666206	0.0428819188651	0.0686118667705	0.0763726711888	0.160244835914	0.213148955862	0.394481407083
