 	è	facile	che	stanno	ancora	svegli	</S>
è	0.4869936638	0.037315646	0.46355659887	0.011218581905	0.000908716329	6.785479425e-06	1.20728565e-08
f	0.166161459033	0.0750737466667	0.73963226629	0.018146821635	0.000978764169667	6.727054355e-06	2.12970713833e-07
à	0.112718118244	0.269059885556	0.603358542097	0.0143743683117	0.000486287776556	2.48291626833e-06	2.78462073378e-07
c	0.128440996081	0.478080681852	0.384436524032	0.00832249237057	0.000249480866452	8.46666983777e-07	0.00046894555868
i	0.111282028694	0.538822927284	0.341404978011	0.00767827295686	0.000184799469751	1.66013228559e-06	0.000625340817747
l	0.0749059472313	0.414519765761	0.480168939337	0.0283929456523	0.000165688180917	1.9373925032e-06	0.00184478773744
e	0.0357528664104	0.23421252192	0.618071913112	0.107645863217	0.00202305471797	3.95029275757e-05	0.00225428003748
k	0.0196640718035	0.139206118307	0.619762004371	0.214288197739	0.00269006644932	5.25022244252e-05	0.00433705447083
a	0.0103314858012	0.0683135704357	0.490923911457	0.399708239246	0.0249237486931	0.000750613656708	0.00504847142494
s	0.0092451338004	0.0516870418119	0.417467297152	0.478116173082	0.0327248175977	0.000983298252203	0.00977626190965
t	0.0106322449335	0.047952127604	0.359768504384	0.501281337694	0.0651949905659	0.00246881401737	0.0127019909699
è	0.00857254231117	0.034274166868	0.178927165128	0.615888479231	0.144894803522	0.00455093567246	0.0128918926566
o	0.00480119766706	0.018428933146	0.0815223827093	0.457716193077	0.417554804507	0.00831464775749	0.0116617884089
n	0.00219527635235	0.00968968223867	0.0611886082364	0.368778247692	0.543434121502	0.00813167681916	0.0065823453263
e	0.00136062264078	0.00676347421956	0.0531395388788	0.321220569231	0.538824607167	0.0701022291731	0.00858893877543
a	0.000525131666927	0.00256469059652	0.0204061492263	0.133577299744	0.725015219056	0.110333764724	0.00757771029181
n	0.000489943062309	0.00240399624884	0.0156693845421	0.124312996581	0.729651113019	0.0622883042413	0.0651842281306
k	0.000575574284103	0.00228291683628	0.0126430891474	0.103551411127	0.47448083434	0.299864255747	0.106601906044
ò	0.000318773121368	0.000888214527093	0.0044167945008	0.0361077284423	0.216695948113	0.591193661916	0.150378882015
r	0.00686755181379	0.00558347233736	0.0049871163186	0.0255906629474	0.135386311371	0.650207813972	0.171377060672
a	0.00953642673793	0.00748486021245	0.00539729282287	0.0219209436358	0.0856031014903	0.769589554657	0.100467817891
a	0.0265477643793	0.0233605015042	0.0214735906576	0.0191381245319	0.0399487861968	0.770012251552	0.099519010297
t	0.0801724147931	0.0816892148347	0.0779559302192	0.0617153065106	0.0270450547323	0.456387151851	0.215034953432
s	0.0754937393977	0.0809117038116	0.0776125512231	0.0648247173702	0.0135178665774	0.363096618617	0.324542791144
ù	0.0255254744759	0.0273100174272	0.0261642184577	0.0221283646434	0.00634032325913	0.343249952872	0.549281637048
n	0.00855504645597	0.00916366204907	0.0087764906279	0.00745338232847	0.00232235634304	0.130934838291	0.832794212349
n	0.00288643198932	0.00310681352169	0.0029923593513	0.00258410433682	0.00152706317101	0.0905519867637	0.89635121745
i	0.00468722274644	0.00423160906256	0.00438928968377	0.00317715154561	0.005930321257	0.237062455588	0.740521952483
t	0.00526120891748	0.00458232290019	0.00480413275026	0.0033049363272	0.00668853246	0.241457549396	0.733901317494
i	0.00175782960199	0.00154425832173	0.00161034424975	0.00111898107773	0.002270066719	0.0853133986653	0.906385105831
</S>	0.000881053242245	0.000781361374365	0.000812235340875	0.000570610773865	0.0011738476465	0.0483006663326	0.947480202916
