 	deve	essere	bianco	</S>
è	0.501964335	0.4976937765	0.0003005341785	4.133462575e-05
n	0.227195288333	0.772607042167	0.000174337895167	2.335535375e-05
a	0.243414602778	0.756417514056	0.000151036121722	1.685079035e-05
è	0.197941944059	0.801944004685	0.000107768797241	6.29536075e-06
n	0.076664735153	0.879751134895	0.0412469301824	0.00233722717445
e	0.0500640723843	0.879654988298	0.0614017620608	0.00887917219148
à	0.0335267136281	0.877712672766	0.0792369160203	0.00952369026383
s	0.012049362576	0.583465004255	0.386546772007	0.0179388409546
p	0.005315006392	0.209183551418	0.464519174002	0.320982240318
r	0.004884781964	0.075120068806	0.223963714667	0.696031430106
o	0.014793573488	0.0334886492687	0.116469090822	0.835248680035
</S>	0.024162516744	0.0263393916343	0.059017164311	0.890480920018
