 	il	dito	si	gonfiò	</S>
o	0.516907002	0.469679186	0.01339712898	1.236559725e-05	4.30456315e-06
d	0.187281141765	0.780965445333	0.0145275366933	0.00185274840958	0.0153731307058
à	0.07898443802	0.888234981778	0.00967370609777	0.00260439980986	0.0205024836636
t	0.0598917810067	0.909062483926	0.00932923776592	0.00113426602995	0.0205822349829
t	0.123314977669	0.804455084642	0.0491677064886	0.00109161372998	0.021970609461
i	0.143661550556	0.519831418214	0.324852805496	0.00226009947666	0.00939412602033
l	0.0644390616853	0.545264129405	0.375618321332	0.00906672615889	0.00561178240678
o	0.0266985430618	0.558234009802	0.380137936611	0.029556297053	0.00537326333559
è	0.0140016803873	0.340089046601	0.480861405537	0.161457550018	0.0035903634552
p	0.00564000386243	0.262564225534	0.279138740512	0.431569773339	0.0210872762951
r	0.00287540117081	0.139946221311	0.115675433171	0.68774834778	0.0537545924317
i	0.00406373090694	0.0505008955703	0.0800612537237	0.63833635926	0.227037745477
m	0.00449959816898	0.0247722675234	0.0665601242412	0.644370513087	0.259797482159
m	0.00177289061543	0.0149578398245	0.0262717512804	0.865568064362	0.0914294623863
è	0.00202489723091	0.00671097525817	0.0202809136268	0.849649564787	0.121333655462
n	0.00982514607697	0.0161861464194	0.0374556485423	0.724041354929	0.212491691821
o	0.0128790230257	0.0181476438065	0.0426068145141	0.458934986976	0.467431537274
</S>	0.00926953201285	0.00974538940325	0.037314175757	0.241221296488	0.702449618637
