 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.51880592	0.447766313	0.014742931	0.0129786005	0.005706241073	2.28865422e-08	3.22449355e-09	2.56681755e-09
n	0.19960296365	0.443386824133	0.328365218	0.0153186411667	0.0133257743577	1.17286468667e-08	3.3421821355e-07	2.2302659945e-07
è	0.0666151254423	0.148213629544	0.744591606	0.0259648390556	0.0146140504526	7.40179385557e-09	4.4407337551e-07	2.96442032617e-07
r	0.0222703130831	0.049934550048	0.889783235333	0.0305903660185	0.00742128348353	3.81615051852e-09	1.48131114013e-07	1.09622429006e-07
t	0.00826639852103	0.0201707011827	0.922426511778	0.0466354850062	0.00250074349051	7.89861881728e-08	4.94306964043e-08	4.7233401102e-08
i	0.00379821267368	0.0158330687276	0.687350520593	0.292163938335	0.000854045715337	1.80555189391e-07	1.65705739848e-08	1.6084708894e-08
s	0.00152891546223	0.0111084245459	0.601927123531	0.384671682778	0.000760647593612	3.42764389797e-07	5.60779112493e-09	2.83103940539e-06
t	0.00319719502508	0.015911102152	0.566520951177	0.413573450926	0.000753001766204	4.03264553966e-05	2.11978215498e-09	3.9594554018e-06
e	0.00379325982503	0.0180369890507	0.277886967726	0.699932700309	0.000287025241068	6.14841881322e-05	1.31199646683e-08	1.5317240906e-06
s	0.00134404428001	0.0067726015169	0.332777096575	0.625745943436	0.0327100612977	0.000167521532377	4.06434355561e-08	0.00048265059172
e	0.00048295744867	0.00283294483897	0.352480690525	0.590582907812	0.0526904917659	0.000285234344126	1.27947447519e-06	0.000643449715073
t	0.00032652652989	0.00201837371299	0.306223921842	0.613051785937	0.0747248652553	0.00268233388138	1.92230112506e-06	0.000970238189524
t	0.00147008188996	0.011253487171	0.308968523947	0.576876068646	0.0825955247518	0.0160579729605	0.000226092487208	0.00255225782984
à	0.00175239544665	0.0140915454903	0.180564097982	0.606605796215	0.136615567917	0.0557889506535	0.000854724795736	0.00372696990995
e	0.000644456288117	0.00516344866277	0.106614420827	0.356129691405	0.463220195972	0.0639772462178	0.00159825379858	0.00265233783932
v	0.000288146551939	0.00208151018692	0.0733407384423	0.142085445468	0.714512095324	0.0619450327393	0.00186151559953	0.00388553361577
ò	0.000294170710646	0.00118897471564	0.0659293414808	0.0738753698227	0.547941741775	0.30146179758	0.00400395603318	0.00530468073859
s	0.00158491523022	0.00186557365855	0.20596767916	0.0691794489409	0.290382160592	0.417913852527	0.00416096393606	0.00894545011286
t	0.00200462845674	0.00207484170285	0.24760359392	0.0618436257803	0.151102696864	0.458173090842	0.00524623473702	0.0719512960376
e	0.00132591133225	0.00136183785095	0.08383543534	0.0260302547268	0.065837263888	0.454879690281	0.258236392246	0.108493205346
m	0.00267401007742	0.00260129618365	0.0349675229467	0.0189044822423	0.0543873162293	0.458788710094	0.362918894082	0.0647577804487
a	0.00258759997614	0.00249108398122	0.0180626290642	0.0131337201974	0.0499966514098	0.416401952698	0.466838084694	0.0304882944829
r	0.00146095704238	0.00194575234707	0.0165349044367	0.0110882855158	0.0796507098033	0.330883356899	0.543500631565	0.0149353934943
è	0.00109650584513	0.00178282755902	0.0163238430956	0.0105051326219	0.0904339023011	0.303723118966	0.499837070522	0.0762976041648
o	0.00107139761271	0.00161166989634	0.0140053946485	0.0074166696573	0.0323497842004	0.117348175655	0.659449033507	0.166747881388
</S>	0.00156905330635	0.00228987814817	0.0193794473242	0.00934057182865	0.0176135737002	0.0669890568275	0.690307346754	0.192511060694
