 	mia	figlia	vuole	andare	</S>
i	0.5090644425	0.490921995	3.0472245e-06	1.05353874e-05	5.93010731e-09
k	0.459939675833	0.519049131667	0.000850581694833	0.0181293059707	0.00203129480639
i	0.475464461944	0.496345957222	0.00130136997494	0.0241797416536	0.0027084317379
a	0.213631628648	0.752347685741	0.024865502535	0.00825220701453	0.000902947105577
t	0.285591024216	0.638799505247	0.0573843675117	0.0115977204715	0.00662738219237
è	0.501195251405	0.428866758416	0.0483419068372	0.0130577835238	0.00853829695846
r	0.610169703802	0.328316809472	0.0458987166124	0.0115774608746	0.00403728241382
a	0.450292855267	0.174885979157	0.360969072204	0.0112018848915	0.00265019853794
m	0.170526041089	0.0646164001523	0.613978790735	0.143107141897	0.00777164204598
u	0.0709387055297	0.0255389098174	0.700231963578	0.193165260632	0.0101251509487
i	0.0262053165099	0.0112921945058	0.853922721193	0.104409013544	0.0041707430929
t	0.01521703967	0.00601709940193	0.744590940398	0.208807471181	0.025367449541
è	0.01077582862	0.00342744204064	0.518676080133	0.431679890394	0.0354407421803
l	0.00576036070333	0.00188941635355	0.311433556711	0.640871980131	0.0400446963934
i	0.00454123323444	0.00167813715118	0.148573810904	0.648828320044	0.196378535464
n	0.00302768871148	0.00139561611706	0.0804881536347	0.677554750015	0.237533834155
a	0.00223502227049	0.00109178119902	0.0455610155449	0.702279203338	0.248832993718
p	0.0012858506235	0.000609388869673	0.0210919971816	0.712956804446	0.264055941239
à	0.0007838640545	0.000331957276558	0.0103483656605	0.641354261482	0.34718155708
i	0.00674519929817	0.00199921930219	0.0124700091535	0.414766350494	0.56401922236
</S>	0.0130713061491	0.0038183136511	0.0193742590768	0.359496655247	0.60423944118
