 	stava	ancora	cucinando	</S>
ì	0.96535811	0.034640870325	7.8894833e-07	1.2337422e-07
s	0.96464218	0.035357177675	4.2825645e-07	1.23896283333e-07
t	0.98723863	0.012761003365	2.08302454757e-07	1.06716699111e-07
i	0.967657776667	0.032341757695	3.57079036342e-07	8.72182743703e-08
g	0.960620912222	0.039304590865	3.38914445788e-05	4.05701218848e-05
g	0.983365927407	0.0157013608217	0.000865457868193	6.72279619616e-05
h	0.982385599136	0.0157135918406	0.00168201182273	0.000218791121987
e	0.720320929712	0.239966916614	0.0387372306742	0.000974888363996
a	0.314746240571	0.496470125538	0.187736563558	0.00104702770567
n	0.21108951419	0.550910895179	0.203275839353	0.0347237321529
k	0.198675041397	0.624402118393	0.115257307951	0.0616655283843
ò	0.0949208168657	0.460069778464	0.40607840265	0.0389309961281
r	0.0394976276886	0.166079999155	0.72101956755	0.0734027677094
a	0.0206205022495	0.0616587345417	0.832241119183	0.0854795762365
m	0.0426512814365	0.0225085220039	0.803705393061	0.131134765746
a	0.0500094030788	0.00943891331463	0.795899007687	0.144652643115
r	0.0263889456263	0.00445235988488	0.909962569229	0.0591961292383
è	0.0257510805421	0.00277887296829	0.935429923076	0.0360401357461
o	0.019170409014	0.00189284086276	0.925213074359	0.0537236429154
n	0.059263681838	0.00437794828759	0.633180883453	0.303177452972
t	0.096289163946	0.0093434404292	0.304701476484	0.589665874324
a	0.071444063982	0.0106391774764	0.200899133828	0.717017581441
</S>	0.054475215991	0.0089954662382	0.154590894414	0.78193839072
