 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
p	0.998051975	0.00140006822	0.000358935785	0.000126623675	6.0605199e-05	1.86497025e-07	1.24925935e-08	1.484286847e-06	4.643710905e-08
à	0.966409638333	0.0318323520067	0.00130343261833	0.000406797451667	4.60466643333e-05	1.31939646333e-07	1.15162864667e-08	1.48350711447e-06	4.63420051352e-08
o	0.708205246111	0.287991392002	0.00320073913944	0.000567010117222	3.50092415778e-05	6.1662764811e-08	4.69682695557e-09	4.94503266422e-07	1.54485138465e-08
c	0.35445485537	0.641225930667	0.00398023321315	0.000312984669074	2.50720526593e-05	9.3182929637e-08	2.55700334152e-07	1.68091749267e-07	3.98098412965e-07
e	0.179832385123	0.808680793556	0.0111770669044	0.000285947463025	2.27581358864e-05	1.18712273212e-07	3.44344215717e-07	5.9290009566e-08	5.25650163066e-07
r	0.100385489708	0.879754867852	0.0167591099681	0.00264045073101	0.000410400688295	2.20419260977e-05	1.68698082957e-06	4.20830065332e-07	2.54869852131e-05
k	0.120805157903	0.817320342617	0.056900018656	0.00405033354367	0.000850641142765	3.37369180326e-05	5.34965777652e-06	5.63101661777e-07	3.38140894957e-05
è	0.125884462634	0.789624914206	0.0815237848853	0.00232467018122	0.000608410455255	1.72280332109e-05	5.04303968217e-06	2.12325712926e-07	1.12781123183e-05
o	0.053586514878	0.594774713402	0.334286900295	0.0170842669604	0.000254355306085	7.69254393697e-06	1.73021104072e-06	7.3647473468e-08	3.75945907929e-06
n	0.0254323222927	0.383739279801	0.534233816765	0.0514849539868	0.00486377732869	0.000169531152979	6.58010330702e-05	4.63176210798e-06	5.89990360459e-06
t	0.0188765044309	0.3515388666	0.554526012255	0.0674363646623	0.0072656914429	0.000252869824326	9.09438286901e-05	6.15245243533e-06	6.6168180002e-06
a	0.0103334905436	0.182211219433	0.587182087418	0.215712601554	0.0043768687143	0.000145188161442	3.42958028167e-05	2.05303518728e-06	2.20917617243e-06
è	0.00498540111453	0.0849281770443	0.560874412473	0.342490267185	0.00606726730477	0.000549332457147	0.000103110126526	1.24634997193e-06	7.51623717843e-07
