 	non	mangiare	la	sera	</S>
m	0.2350477925	0.58761672	0.16774498975	0.00376607956	0.00582442101665
i	0.0881154448333	0.731014006667	0.170764670917	0.00428145285333	0.00582440196816
f	0.0335697637944	0.718149332222	0.216931227972	0.0208770829511	0.0104725886187
a	0.0150808717815	0.702950297407	0.243133805991	0.0268102795504	0.0120247889772
i	0.0092297233605	0.579599609136	0.209776641997	0.197382059417	0.0040119921634
o	0.00384358067683	0.227770734045	0.223886770666	0.543160063139	0.0013388408262
v	0.00158894472894	0.0876150273483	0.260676266889	0.627522107713	0.0225976593138
r	0.00305984538965	0.0548183057828	0.264046022296	0.623990642571	0.0540851964379
à	0.0112546815632	0.0963797535943	0.249831807432	0.54666135419	0.0958724154793
i	0.0192066568544	0.119371591198	0.260671549144	0.514948521397	0.0858016816264
</S>	0.0210018534272	0.100326395599	0.199259514572	0.635908085698	0.0435041155132
