 	che	non	li	aspettiamo	</S>
n	0.94358165	0.049856058	0.003489388925	0.003072322	5.605798e-07
a	0.73558513	0.151345821333	0.105440703975	0.00762795933333	3.65235064667e-07
m	0.349649314267	0.174206468778	0.140076847325	0.253582476778	0.0824848664444
i	0.176924202356	0.146396124593	0.211768441775	0.354926562259	0.109984685904
t	0.119789889152	0.136676913531	0.233771896025	0.462590744086	0.047170591724
u	0.045061039084	0.109568133177	0.337038687442	0.482103408695	0.026228741585
s	0.019327836918	0.0992678352257	0.377865907147	0.494060263565	0.00947815520533
m	0.009417174196	0.0353174149086	0.136745888049	0.812424057855	0.00609545406844
ì	0.00636719439867	0.0150358052029	0.0518450960163	0.921394169285	0.00535771918948
n	0.00910869946622	0.015608546301	0.0293696443388	0.933857623095	0.0120554882298
o	0.0345406104887	0.086125198767	0.17491634478	0.690783641032	0.0136342066766
m	0.0391534248296	0.107334080922	0.24364540826	0.591641097011	0.0182259644922
e	0.0158241146499	0.0436002344073	0.11883898242	0.76389571567	0.0578409184974
</S>	0.00795995488495	0.0233557313536	0.07170323571	0.810229007835	0.0867520372487
