 	viene	fabbricato	</S>
è	0.4869895875	0.4892249835	0.0237854435
r	0.1740760585	0.799100541167	0.0268234171667
k	0.0782063981667	0.865112213722	0.0566813823889
e	0.252053620389	0.628163537907	0.11978280413
t	0.296491292963	0.569793492636	0.13371517471
e	0.106540645821	0.802470430879	0.0909889122367
f	0.0396127517737	0.91223865696	0.0481485974122
a	0.0172224274246	0.82835712232	0.154420468471
b	0.00904070884153	0.807598520773	0.18336081214
b	0.00499510851384	0.921597696924	0.07340722003
r	0.00542746280461	0.953810698975	0.0407618353433
i	0.0440903343682	0.828304232992	0.127605440448
k	0.0790480531227	0.757754094331	0.163197850149
à	0.0658938770409	0.65869758811	0.275408503383
t	0.131202638347	0.434152716037	0.434644607794
o	0.152476041449	0.253429148912	0.594094775931
</S>	0.0986267637245	0.129707019806	0.771666187966
