 	dei	genitori	</S>
à	0.996153525	0.0035066793	0.0003398013
t	0.997116591667	0.0027078227	0.000175631036667
t	0.997130697222	0.00273851336667	0.000130815637556
u	0.995939299074	0.00389593085556	0.000164778727852
s	0.991347566358	0.00849867995185	0.000153767376767
g	0.809414622119	0.183697879317	0.00688752421307
e	0.636774340706	0.353500893106	0.00972478950436
n	0.526362723569	0.468040887702	0.00559642093479
i	0.458773584523	0.534803005901	0.00642345864493
t	0.419332604841	0.550854088634	0.029813346215
ò	0.22399251828	0.669746929545	0.106260565405
r	0.0863831334267	0.702362276515	0.211254591802
u	0.0399799341422	0.470425510838	0.489594567267
</S>	0.0240843205711	0.258935383419	0.716980303634
