 	sto	e	cucino	</S>
e	0.93315011	0.066471916	0.00037205075	5.9208699e-06
s	0.87340337	0.125214726	0.000437482816667	0.000944447268633
t	0.702234476667	0.296195422	0.000311781818889	0.00125832591288
è	0.418255843889	0.580698004	0.000616487706296	0.00042965985296
c	0.16999802163	0.825511151333	0.00157898793543	0.00291179957632
e	0.0726042718767	0.668766490444	0.254824726145	0.00380442591544
m	0.0331937366256	0.513293570148	0.440421232048	0.0130913743618
a	0.0150273992552	0.386938183566	0.581868600683	0.0161657665873
r	0.00782392546507	0.173723761372	0.811336550228	0.00711574466243
è	0.00574869198836	0.111914132791	0.870076733409	0.0122604215541
o	0.00628089132945	0.0509759962637	0.92430964447	0.0184334221847
</S>	0.00911428441472	0.0317054676319	0.940761822235	0.0184183595923
