 	non	ho	cosa	è	da	mangiare	</S>
e	0.921394225	0.071802777	0.0066685015	7.77491225e-05	3.862530765e-05	1.795458495e-05	1.47314945e-07
n	0.637328446333	0.0700570036667	0.2811244095	0.00459685998083	0.000775171635883	0.00233561264665	0.00378248958816
è	0.314013536778	0.223117031222	0.447568123167	0.00610407122361	0.00100516923063	0.00314533939555	0.00504676120005
c	0.220599960593	0.429433927074	0.340774794389	0.00275010190454	0.000559089595543	0.00164988467852	0.00423227507068
h	0.119225008531	0.611325062358	0.25734204813	0.00575260123485	0.000997617498514	0.00139685245951	0.00396080705156
o	0.091519196177	0.547276657453	0.235515659377	0.115822001412	0.00771593096617	0.000826508666503	0.00132403403389
t	0.060635232059	0.289348372484	0.477351089792	0.155425069471	0.0124642923221	0.000506575902168	0.004269343
i	0.0280368000197	0.130462890928	0.452405264264	0.17349450549	0.189448185107	0.0208857900007	0.005266513184
è	0.0120351203399	0.047908198076	0.190360182421	0.22393459183	0.407885738369	0.115797866667	0.00207823929867
n	0.0198854201133	0.042008813692	0.146069880807	0.160275197277	0.406060749456	0.199852228889	0.0258476671529
a	0.0208366264644	0.0368453037007	0.105566622172	0.0890949884257	0.283505393152	0.420817656296	0.043333409051
f	0.0070066997848	0.0124657259869	0.0357393043273	0.0327659216419	0.151736793384	0.729805562099	0.0304799803503
à	0.00240715906827	0.00440314924897	0.0125582028258	0.0140505805473	0.0807499924613	0.7948050407	0.0910258707834
o	0.00123343435942	0.00170183595299	0.0045999598086	0.00705174301577	0.0451792521538	0.686147270233	0.254086516928
</S>	0.00121428577971	0.00109258982649	0.0026795436793	0.00468500500788	0.0296779845769	0.610040605117	0.350609983464
