 	non	ci	dimentichiamo	mai	</S>
e	0.65231602	0.347505006	0.0001764033535	2.549869e-06	2.99002325e-08
n	0.335797244333	0.637299145333	0.0263695027512	0.0002956672992	0.000238460470581
è	0.132252074444	0.801046758444	0.0659834009171	0.0003996249964	0.00031817380558
n	0.102356730148	0.800996536148	0.0963853169724	0.000145923231467	0.00011551590858
a	0.135023853383	0.755151252049	0.109629488991	0.000147605633156	4.77962755367e-05
a	0.102503270728	0.511287934016	0.385905839664	0.000286893647719	1.60455530322e-05
l	0.0349855272427	0.192116538339	0.767703313221	0.00419824133257	0.000996398297521
l	0.0189130111476	0.091815661113	0.644067994407	0.243275276111	0.00192806873251
i	0.0224846793825	0.0704267517043	0.505804854802	0.39966965537	0.00161404964417
m	0.0204150294608	0.0479326459014	0.656544151601	0.26111371179	0.0139944796481
o	0.0772639018203	0.0643975519671	0.522525463867	0.31322703393	0.0225860568827
n	0.109993949273	0.0866921386557	0.409910967956	0.377981187977	0.0154217301276
i	0.058422494091	0.0575761825519	0.349338089319	0.525210105992	0.00945309064253
s	0.0284957103637	0.034839146184	0.394832329773	0.509081688664	0.0327510953142
t	0.0149487003879	0.0256411851947	0.408502973258	0.446476832888	0.104430291771
ù	0.0059618775293	0.0105716888649	0.158073772753	0.677196307629	0.148196307257
m	0.0125975349764	0.0172422746216	0.131084689251	0.73175374921	0.107321706419
e	0.0161496598921	0.0201914931072	0.118507637317	0.697548649737	0.147602529473
s	0.0259471215307	0.0294669256024	0.150091506672	0.588994806579	0.205499633158
t	0.0279927523336	0.0319762118008	0.161086112691	0.401144382193	0.377800567719
a	0.0100368917679	0.0112738274336	0.054745166987	0.313252164064	0.610691955906
m	0.0044206383893	0.0049197587112	0.0215091994523	0.503957601355	0.465192835302
à	0.00204161507543	0.00243716125573	0.0103538416641	0.630550990452	0.354616445101
i	0.00683504233748	0.00509204743724	0.00563618556803	0.482478453484	0.499958298367
</S>	0.0126351336687	0.00894704321862	0.00588942478401	0.401247776742	0.571280649184
