 	hai	già	mangiato	</S>
ì	0.973779975	0.0252193975	0.0009637843225	3.68719325e-05
s	0.967509191667	0.0313459665	0.00102559798417	0.0001192196155
e	0.716072040556	0.281871506833	0.00192511157139	0.0001312999828
g	0.523599810185	0.394938358944	0.0390153946905	0.0424464592052
i	0.397468194728	0.258270752981	0.286793664897	0.0574674103684
à	0.140782988376	0.180579369994	0.658355564966	0.0202820826895
f	0.078421901592	0.089894653998	0.744582531655	0.0871009194965
a	0.0582139907973	0.0629375779993	0.741316843885	0.137531579832
m	0.0290845015324	0.0343052926664	0.852231757962	0.084378449944
è	0.0185658642441	0.0173107446888	0.805198362654	0.158925063315
n	0.0149166348147	0.0146893056963	0.577054320885	0.393339764438
a	0.0138139736049	0.0132407756988	0.306307161962	0.666638098146
</S>	0.00803880380245	0.0091223405494	0.175831613481	0.807007264073
