 	dove	aveva	per	stare	non	aveva	</S>
p	0.703209085	0.1210680005	0.173413777	0.00186494283	0.0004259586	9.6963024285e-06	8.49145761145e-06
u	0.400851091667	0.286155356833	0.310329315667	0.00223212457667	0.000413921761333	9.69174181767e-06	8.4912965335e-06
ì	0.158395218556	0.595184102278	0.244795011556	0.00134625346114	0.000273385381778	3.24632997506e-06	2.83092628038e-06
c	0.0701145491853	0.839376087426	0.0892856815187	0.0004532373953	0.000765443827259	3.25609155269e-06	1.79943783299e-06
h	0.125568901395	0.751462695809	0.109689095173	0.0101990881378	0.00307526024242	3.51110902756e-06	1.47460534433e-06
e	0.134886098132	0.415029449603	0.393539845058	0.0532650077126	0.00327766036481	1.43325480976e-06	5.1147757431e-07
n	0.069408168044	0.193365480868	0.662410195019	0.0706534042375	0.0041569695056	5.12428342716e-06	6.7951585097e-07
a	0.040318627248	0.120359323956	0.74086377834	0.0934927247458	0.00495818296853	6.64647020905e-06	7.36772142457e-07
s	0.076860329316	0.0899147049853	0.672486449447	0.106133454915	0.0460590794562	0.0076190031338	0.00092694669094
t	0.0898587690053	0.0768539236618	0.449792863149	0.311507131638	0.0605804279854	0.0101583399623	0.00124849232831
a	0.0323569143018	0.0295546217539	0.311122697716	0.566277343879	0.0566385274951	0.00355201957177	0.000497848634103
s	0.0122064473006	0.0121240164013	0.195017184239	0.393769646293	0.0743099234984	0.309128219524	0.00344452847137
ì	0.00452362012187	0.00511017648377	0.069059374413	0.133128358798	0.147667125499	0.635976489841	0.00453481473379
e	0.00154899586229	0.00299518006126	0.0267317990043	0.045808561406	0.347281175166	0.57389848328	0.00173574927126
n	0.000606885674097	0.00199674355375	0.00988469890143	0.0156432700087	0.375243058389	0.595602401093	0.00102287087375
ì	0.000263473967366	0.00128684916125	0.00384782910381	0.00545050678957	0.196191775463	0.791995170364	0.00096436019125
c	0.000144277858455	0.00146082113042	0.00147912738127	0.00186162623652	0.0820675724877	0.908360806788	0.00462575929708
h	0.0965855788662	0.0703349731768	0.0545942937038	0.0193854320322	0.0551994681626	0.669745535596	0.0341547057657
e	0.144174040289	0.103320836726	0.0916358029013	0.0404588283441	0.0606653187209	0.284300587532	0.275444575255
</S>	0.0953296911445	0.068193306863	0.0750766739506	0.043119495672	0.0663038743605	0.160967357266	0.491009587628
