 	non	mi	aspetti	non	vengo	</S>
m	0.05199300745	0.507446685	0.438419771285	0.00184610087	0.00025754186	3.68326828865e-05
ì	0.01982159525	0.504676678333	0.450098934428	0.0251172966233	0.000248548155667	3.68351102578e-05
m	0.0118477348833	0.656822902778	0.290290888809	0.0400530922078	0.000925511920889	5.97788210483e-05
e	0.0276281849611	0.717411147593	0.228401422603	0.0253075194026	0.0011838293903	6.78597674494e-05
m	0.030296003887	0.558325208198	0.339205433868	0.0185082628009	0.0533769016801	0.000288165772916
ì	0.0155896411957	0.294654981733	0.491405344623	0.076088805267	0.121663787227	0.000597450424305
n	0.0166553153986	0.243390580578	0.419965041541	0.123360858422	0.195162335742	0.00146588027477
i	0.0151884251329	0.140942600193	0.27991506718	0.386690622807	0.175573726914	0.00168952613826
e	0.00903519837763	0.057501397331	0.103206612393	0.751752874269	0.077766428638	0.000737446596087
n	0.00377298544254	0.020180275057	0.0570972274643	0.569435773756	0.345161674213	0.00435204683536
è	0.00140479860085	0.007057514559	0.0406743678214	0.404799530252	0.538684214738	0.00737958877845
r	0.00194194810362	0.00394377324633	0.0271581006071	0.363922585084	0.586560428246	0.0164731654261
k	0.00437379713454	0.00804944861544	0.019441385869	0.152186857695	0.553067992749	0.262880492809
o	0.0146491617115	0.0248341852051	0.0106769682897	0.110692633565	0.284733417583	0.554413617603
m	0.0184517632372	0.029383926735	0.0101616160966	0.096906886855	0.396584632528	0.448511145868
e	0.0093537392124	0.0142698553783	0.0093968631222	0.0510693116183	0.503578834176	0.412331365289
</S>	0.0054461728062	0.00760503338915	0.0048357781961	0.0389643413091	0.405925167088	0.537223497644
