 	ho	rotto	una	bottiglia	</S>
è	0.47629807535	0.468578389	0.052757563795	0.0023651538	8.5698813e-07
g	0.164671070017	0.774050213	0.0585120219317	0.00270207303333	6.467183291e-05
l	0.152006951339	0.800499331	0.0377087106439	0.00968097144444	0.000104086249637
a	0.17054768578	0.786677620333	0.0312623792146	0.0114485059815	6.38539752123e-05
s	0.162188943927	0.696370050111	0.108735429405	0.0255831621605	0.00712243544507
a	0.135043887309	0.460178576704	0.364484123135	0.0308116719202	0.00948171986002
m	0.048503686103	0.250327778568	0.403675591045	0.286668400507	0.010824499665
i	0.0186565864343	0.130942505856	0.413063967015	0.414821110169	0.0225157832217
a	0.00742369692143	0.0931136722853	0.689915189005	0.19063003939	0.0189173692339
b	0.00346115368381	0.0372160560951	0.611793023002	0.293778405797	0.0537513645713
u	0.0031595157946	0.021427010365	0.479053987667	0.375701955266	0.120657534857
t	0.0183381804982	0.043667553455	0.480533335889	0.240782721755	0.216678218286
t	0.0233254185994	0.0455233336183	0.283063501963	0.230214550585	0.417873229429
ì	0.00881271835113	0.0171524857494	0.110371255121	0.176661458528	0.687002093143
g	0.00561246350171	0.00756073682647	0.071876539507	0.246979654509	0.667970577714
l	0.00887858650057	0.00655274800882	0.087291893169	0.413679964836	0.483596782571
i	0.00858910126686	0.00503059306961	0.0639382250563	0.456128648279	0.466313437524
a	0.0115193305223	0.0100574941899	0.0444550943521	0.338699326093	0.595268779175
</S>	0.0168567302611	0.0166671005949	0.0485511301761	0.200645928046	0.717279139588
