 	è	che	sono	usciti	</S>
è	0.4779193935	0.440851261	0.081221696	4.19424055e-06	3.52174775e-06
n	0.1731115925	0.726618253667	0.100258496333	3.99243511667e-06	7.67555191667e-06
a	0.0713683321667	0.873578867889	0.055043775111	1.80402925222e-06	7.25888084789e-06
g	0.0385132830556	0.88738388263	0.068840337037	1.61705570307e-05	0.00524636967516
u	0.0422784583519	0.864537317543	0.0848933223457	0.000880416135677	0.00741051772505
ì	0.032672747184	0.657151752514	0.304805210782	0.00223634691189	0.00313398147502
k	0.031477712128	0.398447884171	0.541068686927	0.00221159527063	0.026794124225
a	0.055291548376	0.297357008057	0.516938898976	0.0819844300569	0.048428138075
n	0.054971007792	0.218204869352	0.569674929659	0.119540890019	0.0376083426917
e	0.032601647464	0.145788794451	0.453865426553	0.337233720006	0.0305104332306
</S>	0.019898456032	0.0842977742255	0.267121073276	0.597674490003	0.0310082401153
