 	non	aveva	da	stare	</S>
e	0.7807161	0.16756413	0.051643428	7.5744218535e-05	5.7376316e-07
n	0.568742611033	0.409616896667	0.0215725530667	2.6170506935e-05	4.17434215433e-05
ì	0.190178269731	0.802299765556	0.00745712649723	9.37539585793e-06	5.54170794078e-05
c	0.067044719597	0.928407911852	0.00449629224074	3.36160176558e-06	4.76822153626e-05
h	0.0538703578657	0.734419777284	0.21123612708	0.000424824331922	4.88703594542e-05
e	0.0605807359552	0.351289514095	0.587444505693	0.000664700060641	2.05326791514e-05
n	0.0467686619851	0.140168499032	0.812681881898	0.00036558144688	1.53726870505e-05
a	0.0342772493284	0.082948522344	0.769509247299	0.112106794526	0.00115814059135
s	0.0472629034428	0.0670482091147	0.574047125766	0.149980367175	0.161661324697
t	0.0449820570343	0.0394142560049	0.325046837922	0.364721658058	0.225835141566
a	0.0151923405814	0.0133721278916	0.116009792441	0.760065929353	0.0953598191887
s	0.00516216239047	0.00454191564187	0.0391574644713	0.577793847129	0.37334463173
ì	0.00177132764682	0.00212190546862	0.0130949380861	0.192771052555	0.790240790577
</S>	0.00093015182841	0.00196098048431	0.00660155415005	0.0966394755275	0.893867865289
