 	l	ha	scritta	</S>
t	0.9378975	0.0602295805	0.00178728085	8.5707505e-05
o	0.656701925	0.323652842167	0.0195805516167	6.47108563333e-05
è	0.265806395333	0.628398180722	0.104049313872	0.00174611541011
g	0.109851297444	0.453429266907	0.405838354624	0.0308811098034
r	0.169761269481	0.291384742302	0.498354431541	0.0404995676011
a	0.26872202316	0.372884847434	0.32046320718	0.0379298815337
t	0.174919485053	0.284078145145	0.499716485727	0.0412858625112
s	0.0641291200177	0.136070551048	0.761768871909	0.0380314591704
e	0.0242028657726	0.0730205306827	0.55988835397	0.342888260723
</S>	0.0132773000363	0.0375042458413	0.310105756985	0.639112730361
