 	venne	scritto	</S>
ì	0.999884755	0.0001090637665	6.21756415e-06
r	0.999928485	6.12144825e-05	1.035370615e-05
t	0.999867225	0.000120732596833	1.20796809167e-05
e	0.914470165	0.0854476365856	8.22158558389e-05
g	0.730956768333	0.116367062629	0.152676182832
r	0.493938139444	0.285681154643	0.220380697611
a	0.256080594815	0.428239751548	0.315679629204
m	0.168497679938	0.236535816849	0.594966476401
m	0.120703842779	0.0995410739497	0.7797550588
è	0.0483608337263	0.102112849983	0.849526332933
n	0.0242580415088	0.098710312661	0.877031677644
o	0.0104778545696	0.0869835235537	0.902538649215
</S>	0.0076997229848	0.107603656777	0.884696659608
