 	non	ha	da	mangiare	</S>
a31	0.9042351	0.07409888	0.020092541	0.00097633357	0.00059721246
a20	0.08219112	0.27103883	0.06542584	0.58092284	0.00042137344
a31	0.46243194	0.0021828369	5.4112203e-05	0.53518724	0.00014392594
a41	0.9515938	0.005716959	0.00018390162	0.042250305	0.00025498873
a10	0.1335058	0.0034848228	4.311467e-05	0.8627973	0.00016897211
a31	0.35349917	0.19460694	0.00041344596	0.4499425	0.001537955
a15	0.9493203	0.021630302	0.00027264765	0.027832815	0.0009439716
a31	0.109559424	0.04661267	0.0012334549	0.8256992	0.016895229
a39	0.4744406	0.20127884	0.0009536038	0.055693317	0.26763365
a37	0.65369123	0.18140754	0.004745932	0.13563469	0.024520634
</S>	0.5275246	0.06097212	0.07619284	0.10770572	0.22760478
