 	essendosi	vestito	</S>
a46	0.9885169	0.011462885	2.0177948e-05
a31	0.73939395	0.2481624	0.012443614
a18	0.3640947	0.6330515	0.0028537593
a31	0.7725699	0.21575636	0.011673693
a20	0.5898402	0.40817156	0.0019882375
a46	0.52884597	0.46075204	0.010401966
a20	0.8318475	0.07544005	0.09271245
a31	0.1350042	0.5842864	0.2807094
a0	0.23985286	0.61885655	0.14129062
a46	0.069935605	0.61849916	0.31156525
a35	0.09197256	0.5009141	0.40711328
a46	0.36915275	0.28659692	0.34425035
a24	0.45866325	0.21524358	0.3260932
a46	0.30833244	0.5241541	0.16751343
a24	0.3290783	0.23977767	0.43114397
a31	0.20843679	0.64993256	0.14163059
</S>	0.028813787	0.8320916	0.13909453
