 	non	mi	aspetti	non	vengo	</S>
a33	0.9803858	0.01728029	0.0008826669	0.00019497688	0.0010671087	0.00018922945
a31	0.7450941	0.19481187	0.00063282816	0.03840032	6.733258e-05	0.020993598
a37	0.81046987	0.051703215	7.2306095e-05	0.13666731	5.5736462e-05	0.0010315992
a35	0.7603762	0.13709731	0.0005714349	0.09991758	0.00020654604	0.0018308978
a31	0.68782336	0.19716607	0.011574494	0.07078323	0.009269358	0.02338349
a7	0.18061678	0.13102233	0.003190214	0.6830447	0.0016842193	0.00044183477
a18	0.899106	0.041889	0.018805478	0.0070786253	0.020537978	0.012582902
a24	0.40682277	0.10828958	0.026418224	0.01358405	0.39394256	0.050942764
a31	0.03351355	0.14211231	0.01275119	0.0021774764	0.7051792	0.10426625
a20	0.0034230105	0.0023838	0.01210529	0.049027007	0.7380508	0.1950101
a8	0.022175688	0.026130866	0.01558155	0.0155078275	0.81517744	0.10542668
a31	0.12167046	0.14370959	0.08800437	0.08459707	0.43864846	0.12337007
</S>	0.35912448	0.052182663	0.21380307	0.03682207	0.10141789	0.23664983
