 	devo	pulire	l	albero	</S>
a39	0.83398604	0.12817699	0.033822015	0.0034072832	0.00060765696
a31	0.026617033	0.06768729	0.16356285	0.7414516	0.0006811736
a35	0.041331187	0.10856324	0.11304271	0.67309546	0.06396739
a31	0.007709452	0.09569298	0.45292887	0.44270355	0.0009651876
a20	0.09472786	0.3130278	0.49076232	0.08509468	0.016387396
a31	0.032638457	0.47246954	0.21706371	0.2774958	0.00033249278
a37	0.03312049	0.34865075	0.38661373	0.22714794	0.004467134
a1	0.008329808	0.18623969	0.021113202	0.7838896	0.00042768722
a20	0.047395375	0.43247703	0.20384717	0.3157384	0.0005419709
a31	0.12347911	0.31187737	0.082696944	0.42627665	0.05566991
a39	0.0002729206	0.06173445	0.14619017	0.7848002	0.007002209
a10	0.017986786	0.010441362	0.009445938	0.95332706	0.008798841
a29	0.048435807	0.42558667	0.06800009	0.30422387	0.15375358
a46	0.19849272	0.16346979	0.038478248	0.43379858	0.1657607
a31	0.10976021	0.031139681	0.020928575	0.7544655	0.08370599
a20	0.058876116	0.3737096	0.07605589	0.24131852	0.25003994
a13	0.2149059	0.06696074	0.073641576	0.5271644	0.11732737
a20	0.3102471	0.06397807	0.041789994	0.45528367	0.12870114
a31	0.25795454	0.058803976	0.030280752	0.49338576	0.15957497
a11	0.23896171	0.19177102	0.05739786	0.4075729	0.10429651
a17	0.3255227	0.13139394	0.13158755	0.26292336	0.14857252
a20	0.38839927	0.15521494	0.15483321	0.1721481	0.12940452
</S>	0.591926	0.0977174	0.06988431	0.15846646	0.082005836
