 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.8456942	0.1291529	0.013080342	0.0056095948	0.0012906928	0.0040606344	0.0003416944	0.00076993945
a31	0.14410213	0.08145715	0.00016814575	1.824942e-05	0.33873546	0.43078867	0.0030577276	0.0016724649
a37	0.13677105	0.0075870263	5.8583696e-06	0.0009713352	0.5685966	0.2677367	0.0025641967	0.015767215
a31	0.008842599	0.17936037	0.0008278584	0.00055161904	0.51974934	0.24818707	0.005437088	0.037044093
a20	0.001931384	0.001899159	4.7969735e-07	2.6095224e-05	0.51887304	0.4753901	0.00030760697	0.0015721249
a31	0.09760459	0.20439084	0.0012462096	0.0006962943	0.31876853	0.3686337	0.005179177	0.0034806733
a20	0.024419455	0.024367863	5.508188e-05	8.6982014e-05	0.4058316	0.54202795	0.00058641046	0.002624654
a13	0.450614	0.17106691	0.0059037413	0.008691985	0.18009946	0.1725275	0.006214767	0.004881634
a20	0.60860497	0.082313776	0.00014392543	0.004136864	0.109357655	0.16430879	0.008067497	0.023066478
a24	0.014382838	0.2733435	0.0021145868	0.008666663	0.03805852	0.046170242	0.041852154	0.5754115
a31	0.014089003	0.27006215	0.0039661033	0.0059855594	0.030963264	0.028534437	0.04837466	0.5980248
a0	0.0034727287	0.004121349	0.004134874	0.016783638	0.046845257	0.33536175	0.4062274	0.18305303
a35	0.3163227	0.3249043	0.03657562	0.026032815	0.04736529	0.13381346	0.031042866	0.08394293
a0	0.47095177	0.31828532	0.05316454	0.040341284	0.03919943	0.039101083	0.024984583	0.013971896
a31	0.25998804	0.36886823	0.058431316	0.02673704	0.07693356	0.08539418	0.02780252	0.09584513
a11	0.13678157	0.24393836	0.23253575	0.102517866	0.057103444	0.053820558	0.057675704	0.11562671
a20	0.37930557	0.17016205	0.08427136	0.07452206	0.07600355	0.08290118	0.06741181	0.06542244
a41	0.4889672	0.24747464	0.054793462	0.04648199	0.04583342	0.044592123	0.03939612	0.032460988
a10	0.33395672	0.16454935	0.10896666	0.10165473	0.08962755	0.08140844	0.07695551	0.042880993
</S>	0.2613713	0.4118117	0.14152627	0.05526678	0.034347586	0.01808129	0.023223191	0.054371875
