 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.8487934	0.01828855	0.013497149	0.009800449	0.0076083383	0.013398385	0.0015358459	0.077079006	0.009998883
a13	0.8151623	0.012066727	0.01711465	0.09186446	0.053939424	0.00013709298	0.0002598134	0.008196376	0.0012590677
a0	0.79582256	0.0004165237	0.0026530325	0.018191654	0.036797058	0.00022282769	9.0071495e-05	0.07934836	0.06645799
a31	0.10346171	0.004701029	0.014050634	0.030098889	0.020012544	0.001349619	0.001700745	0.7580694	0.066555455
a18	0.030948114	0.00037912786	0.014332292	0.09985708	0.3327974	7.1079325e-05	0.00033118678	0.4831986	0.038085118
a31	0.8451728	0.0018796076	0.013476577	0.034639493	0.044283886	0.0011074914	0.00028658664	0.043398283	0.015755173
a28	0.03884764	0.00014384337	0.010888686	0.08816431	0.60450435	0.000270538	5.4818993e-05	0.25219396	0.0049318937
a20	0.10954942	0.0013924522	0.044325247	0.036249172	0.021679841	5.4462238e-05	5.456128e-05	0.7808845	0.0058102757
a31	0.40993315	0.019009981	0.028721232	0.14714898	0.20949717	0.0013978871	0.0027580464	0.18084554	0.00068797887
a7	0.0014752148	8.605167e-06	0.003261268	0.17645405	0.22153814	2.1595932e-05	1.4028357e-05	0.5971866	4.052413e-05
a38	0.5295589	0.008427221	0.20283438	0.10481778	0.13337332	0.000717554	0.00096375565	0.015659183	0.0036478578
a24	0.6425662	0.007750347	0.115931004	0.03833671	0.17480142	0.0021279375	0.0013507637	0.016632603	0.0005030472
a46	0.3588096	0.18094738	0.24251035	0.066265136	0.037944533	0.03677791	0.04111707	0.029319977	0.006308096
a31	0.23716111	0.0046635033	0.10674311	0.047668412	0.58957833	0.002172386	0.00050346483	0.009534419	0.001975258
a38	0.16527702	0.0023518407	0.034827054	0.1423611	0.41756946	0.042243782	0.020995088	0.14556839	0.028806247
a31	0.15002644	0.0021919776	0.015360113	0.012765473	0.81303406	0.0023258163	0.00028504067	0.0031605924	0.0008505223
a13	0.094176374	0.0047715046	0.17981909	0.36364904	0.20234907	0.014345761	0.017227454	0.04719568	0.07646597
a31	0.18547276	0.0076674307	0.025246084	0.02583056	0.7327927	0.01426344	0.0019489684	0.0035232848	0.0032549154
a8	0.06962253	0.016069021	0.26648098	0.18872136	0.36706734	0.0083129825	0.020399883	0.021007478	0.042318467
a20	0.25867292	0.023636628	0.034935866	0.041099593	0.5503991	0.076476194	0.0075925603	0.0050079343	0.0021791586
a31	0.114546604	0.022926368	0.13465749	0.07445086	0.57763636	0.010436885	0.009945828	0.011074134	0.044325486
a15	0.065898485	0.037486676	0.32128105	0.13083713	0.10956859	0.008948183	0.040228307	0.044996496	0.24075511
a31	0.1765506	0.02672263	0.04568493	0.05476835	0.58660585	0.08305285	0.010880665	0.011632477	0.0041015903
a20	0.014542488	0.064092234	0.168208	0.09784322	0.14862747	0.029866237	0.22531354	0.09748111	0.15402563
a39	0.11697174	0.0490822	0.06311801	0.07098688	0.5279703	0.13566409	0.02162237	0.011140438	0.003443874
a31	0.083923005	0.065830596	0.090458915	0.09732964	0.48836333	0.06747018	0.052638415	0.032689232	0.021296704
a8	0.013151322	0.07838942	0.08208085	0.044858623	0.042942066	0.034145262	0.22028744	0.0856348	0.39851028
a31	0.13794646	0.0787906	0.08285779	0.086070344	0.3672354	0.13397951	0.06452153	0.034502175	0.014096177
a37	0.005986636	0.07921831	0.050586414	0.058136437	0.025378488	0.07746577	0.4057995	0.08298652	0.21444193
a20	0.101358935	0.09323759	0.09730634	0.09978837	0.38671714	0.13081817	0.061819825	0.021119284	0.007834275
a8	0.117381275	0.11306763	0.1202566	0.12261654	0.19636191	0.11258258	0.1028062	0.07225281	0.04267443
a20	0.12540902	0.12172297	0.12574579	0.12585808	0.147575	0.118208826	0.112070814	0.07984874	0.04356081
a31	0.1256414	0.09764491	0.11913518	0.11141205	0.18667814	0.08659626	0.08658173	0.08460898	0.10170133
</S>	0.057357203	0.21049054	0.1037124	0.02528394	0.027163347	0.038426507	0.12863262	0.043541193	0.36539227
