 	Marika	tu	hai	mangiato	</S>
a8	0.3362976	0.6010851	0.02435398	0.02741651	0.0108466605
a31	0.197493	0.5020343	0.0022142078	0.29782867	0.00042988654
a24	0.054586276	0.2630469	0.000851957	0.5050329	0.17648196
a31	0.009356213	0.32116562	0.010535663	0.6564193	0.0025231354
a28	0.16474546	0.53967184	0.0010806485	0.28424662	0.010255377
a31	0.030452104	0.55223393	0.09292187	0.31699693	0.007395121
a3	0.4482894	0.2384628	0.0050721066	0.30641273	0.0017628982
a18	0.1327603	0.2490091	0.11605421	0.50069577	0.0014806516
a31	0.91485155	0.0144406175	0.003407282	0.06716728	0.00013323012
a23	0.8350735	0.028974349	0.021344937	0.11288682	0.0017203618
a31	0.91873807	0.057672538	0.010704578	0.011536719	0.0013479708
a20	0.7636154	0.10349027	0.06674555	0.042464588	0.023684224
</S>	0.3429196	0.1306391	0.29869047	0.14021827	0.08753256
