 	sembra	che	il	ladro	è	entrato	da	qui	</S>
a31	0.13913141	0.31637833	0.27980238	0.07195362	0.061585117	0.10657631	0.021803511	0.0019661451	0.00080316846
a28	0.0040291003	0.23783576	0.6255528	0.12885863	0.0003349371	0.0004660325	0.0013768594	0.0008488783	0.0006969776
a37	0.0034824999	0.102313325	0.07198123	0.8211039	0.00020868532	0.0002442444	1.0970384e-05	0.00014512865	0.00050997816
a31	0.0064150435	0.027840616	0.17206582	0.7661996	0.025291514	6.807171e-05	0.00019622021	0.0006795519	0.0012435323
a11	3.5762096e-05	0.0146696	0.1525173	0.830843	0.0013468746	3.374347e-05	0.00017759656	0.00027916156	9.694973e-05
a31	0.017292183	0.081028916	0.24014549	0.659578	0.0015491097	6.610351e-05	8.387324e-05	8.4517356e-05	0.00017183302
a20	0.00010835316	0.024569904	0.073211595	0.89927876	0.0018401224	0.00026925295	0.00019888014	0.0003379782	0.00018515211
a31	0.03946056	0.15326507	0.12872085	0.6640267	0.010669412	0.0010840496	0.0015604047	0.0007118896	0.00050105224
a39	0.0011831521	0.17222488	0.25930908	0.5606229	0.0046835984	0.0002534844	0.0004699894	0.00051964575	0.0007333098
a31	0.11594877	0.1419407	0.1277467	0.48479295	0.071140945	0.017601566	0.028005386	0.011178597	0.0016443722
a13	0.00450949	0.2396647	0.36621556	0.32862258	0.037993312	0.0027055482	0.010116555	0.0042695524	0.0059026736
a31	0.24542156	0.07707331	0.08044741	0.28686723	0.141261	0.04713042	0.08415185	0.035484824	0.0021623722
a13	0.0020310367	0.064227134	0.24665664	0.46150574	0.12838422	0.016692704	0.05818968	0.014191388	0.008121591
a31	0.3810008	0.055880915	0.05639401	0.11969198	0.1691092	0.06299431	0.10431758	0.04877168	0.0018395464
a39	0.0012288602	0.02217221	0.15124959	0.50029147	0.17510958	0.032889064	0.07004928	0.029480105	0.01752983
a11	0.3416912	0.0777065	0.08265498	0.08533413	0.18791145	0.08468548	0.09823332	0.039679136	0.0021037397
a46	0.14805198	0.083462186	0.12284163	0.12878726	0.35159677	0.079890214	0.060034946	0.02243678	0.0028982663
a18	0.12554534	0.08935636	0.16950455	0.329699	0.13376728	0.07756711	0.042672303	0.026908722	0.004979332
a31	0.12517384	0.04298409	0.061255183	0.5328781	0.056019813	0.043764044	0.042951554	0.06782123	0.027152056
a39	0.035160024	0.03963695	0.09522657	0.1823477	0.18022363	0.028602239	0.078214124	0.16936645	0.19122235
a18	0.100165844	0.054679986	0.09373105	0.53987443	0.072328284	0.050136518	0.0396642	0.038186803	0.011232874
a46	0.10878026	0.05312423	0.05883121	0.49156183	0.0650425	0.053351175	0.055441327	0.0722092	0.041658174
a31	0.1728168	0.0829684	0.083398364	0.21092172	0.087683916	0.084118545	0.09069018	0.117473334	0.06992879
</S>	0.11307126	0.05033505	0.04574757	0.02641175	0.23727973	0.06324518	0.09968926	0.17136903	0.19285113
