 	voglio	che	Maria	venga	domani	</S>
a31	0.6237776	0.28641483	0.070895076	0.012329613	0.005601172	0.0009817166
a35	0.019852532	0.20535228	0.58674973	0.18554837	4.2070576e-05	0.0024551374
a31	0.004197135	0.17319815	0.5502979	0.27040374	0.00012663244	0.0017764401
a37	0.04277836	0.041913886	0.23153354	0.67983025	0.00010738186	0.0038365086
a31	0.0050122417	0.04731547	0.102904834	0.8437365	0.00020279482	0.00082823064
a11	0.014313924	0.012752199	0.07209649	0.90060395	1.6723454e-05	0.0002166023
a31	0.039515093	0.050961178	0.04822972	0.85844344	0.0012688525	0.0015816371
a20	0.016480034	0.013868009	0.036840763	0.93241143	5.229715e-05	0.0003474683
a13	0.10419435	0.01584352	0.017095597	0.85913914	0.0019541397	0.0017732659
a20	0.09476348	0.017113822	0.06710602	0.7317798	0.031024167	0.058212657
a31	0.040227063	0.07275433	0.13638614	0.19541538	0.27442694	0.28079015
a18	0.00056846335	0.0023349312	0.010046317	0.95508116	0.003748461	0.02822069
a31	0.25600153	0.044051256	0.033770695	0.48297837	0.15251978	0.0306783
a36	0.009525535	0.16328551	0.17614757	0.41440085	0.11144708	0.12519343
a31	0.3549456	0.09306343	0.055534165	0.16111526	0.26607025	0.06927129
a20	0.0009869344	0.018608453	0.07074894	0.06679723	0.5625102	0.2803482
a31	0.1026737	0.08068795	0.08071843	0.09014982	0.58792806	0.05784199
a20	0.0008257869	0.0051404093	0.065148935	0.05637127	0.5649255	0.30758816
a31	0.07081695	0.05566868	0.05913864	0.103214204	0.6198672	0.09129424
</S>	0.0007314127	0.007703757	0.086912185	0.055835113	0.47092757	0.37788993
