 	possono	essere	ancora	svegli	</S>
a31	0.9477388	0.005186726	0.0002960166	0.04579494	0.0009835005
a20	0.0071743643	0.004285091	0.34290212	0.64047587	0.00516255
a23	0.07722024	1.8682103e-05	0.87893283	0.028074905	0.015753282
a31	0.53347784	0.00020070927	0.45407042	0.011019617	0.0012313367
a20	0.17766643	0.005951928	0.7458876	0.033490025	0.037004028
a11	0.9522932	0.0006064891	0.04496809	0.0012373657	0.0008948462
a20	0.90961564	0.009153773	0.026668351	0.02329898	0.031263348
a31	0.72273546	0.0090828035	0.10748438	0.088209495	0.072487846
a37	0.77975804	0.0034713778	0.09351612	0.02273307	0.10052134
a31	0.9417996	0.0031883842	0.027806176	0.018735278	0.008470527
a11	0.6964724	0.018358985	0.0753509	0.07192722	0.13789055
a46	0.59066474	0.043810267	0.1290585	0.18280253	0.053664
a31	0.29681736	0.09085561	0.20829846	0.34937763	0.054650865
a46	0.28285083	0.05024938	0.15081048	0.20179902	0.31429026
a31	0.32717317	0.11303967	0.12984286	0.37388232	0.056062
a20	0.17332166	0.15300953	0.26998374	0.20297706	0.20070799
a28	0.127629	0.19378129	0.1295495	0.5154802	0.033560038
</S>	0.13578938	0.1071326	0.2601544	0.34935296	0.1475707
