 	l	ha	scritta	</S>
a20	0.9704522	0.027138494	0.002258839	0.00015047852
a31	0.49818456	0.016122445	0.48565522	3.7772432e-05
a35	0.0018111591	0.07660167	0.92155963	2.757327e-05
a31	0.032841254	0.00055112917	0.9665247	8.295879e-05
a35	0.015061524	0.011775476	0.9690549	0.004108152
a31	0.27721554	0.0005976388	0.72201735	0.00016946135
a41	0.15125512	0.0019160642	0.84630626	0.00052258314
a31	0.23147425	0.0016094672	0.7662392	0.00067707774
a11	0.79408634	0.0013889425	0.2039859	0.0005388253
a18	0.945983	0.0017815595	0.04868697	0.003548529
a13	0.81942797	0.0007405876	0.17557944	0.004251931
</S>	0.23590238	0.018356992	0.7025344	0.04320623
