 	dovevo	comprare	pane	ogni	giorno	</S>
a8	0.9964539	0.0029757398	0.0003714841	0.00015294665	4.17985e-05	4.1131225e-06
a31	0.63004076	0.33756047	0.027686482	1.505206e-05	0.0010440376	0.0036530946
a24	0.72992325	0.25411418	0.014785345	7.4130185e-05	0.0009930121	0.00011011153
a37	0.75807	0.2024683	0.024159793	0.0004000262	0.012359118	0.0025426694
a14	0.9798022	0.015309578	0.0029564616	0.00041133925	0.0013820555	0.00013828893
a29	0.9518262	0.03864681	0.0009861834	0.0021485141	0.005955944	0.0004363945
a0	0.9301766	0.056578115	0.0009290094	0.0013266522	0.00994755	0.0010421567
a29	0.87741476	0.041599147	0.0014418089	0.007337215	0.044976767	0.027230194
a20	0.81877965	0.029150043	0.0070105437	0.009305112	0.055420164	0.08033443
a31	0.5838309	0.057954498	0.03106452	0.024907207	0.11916535	0.18307751
a24	0.808936	0.009340046	0.04450646	0.007870509	0.06545569	0.06389121
a46	0.9167662	0.0070421873	0.029432919	0.0029316812	0.02288315	0.02094364
a31	0.36395535	0.09331408	0.17745143	0.025511453	0.23642655	0.10334119
a0	0.57594126	0.03544686	0.20094563	0.029419791	0.101085365	0.057161186
a20	0.6165556	0.033206146	0.059486397	0.06107196	0.17044269	0.059237134
a31	0.2894547	0.0941471	0.14148204	0.11023657	0.28028223	0.084397346
a46	0.22661111	0.13932124	0.116443336	0.10610986	0.25811648	0.15339798
</S>	0.31872106	0.07315659	0.074670084	0.16205382	0.29857582	0.072822616
