 	questa	canzone	venne	scritta	molti	anni	fa	da	un	nostro	poeta	</S>
a31	0.0004281418	0.0001447005	0.00012208826	7.944715e-05	0.015335587	0.00066683773	0.00043484132	0.0001414831	0.000558823	0.98201686	6.415384e-05	7.061019e-06
a11	6.765375e-05	5.0570583e-05	0.016177448	0.00969576	0.0016727363	0.0012283191	0.010913501	9.8007826e-05	0.0073922793	0.9383367	0.014231072	0.0001359307
a15	0.010193881	0.0009520159	0.06787355	0.025219511	0.13865258	0.04572373	0.031815227	0.018259086	0.09502132	0.02657158	0.53589445	0.0038230354
a11	0.022202618	0.0005501831	0.008847982	0.0021717602	0.26030794	0.120151885	0.094733424	0.003428041	0.2379809	0.22112411	0.027321937	0.0011792408
a13	0.011651976	0.0023670506	0.0039950744	0.00587339	0.32901525	0.045072243	0.030010825	0.0017087087	0.035293	0.50093526	0.027235053	0.0068421294
a7	0.020985374	0.00532763	0.051458906	0.0387343	0.53692794	0.019134693	0.034957137	0.011174068	0.042444695	0.19659305	0.04024416	0.00201798
a18	0.0035187171	0.0033761873	0.006987941	0.015516415	0.36736587	0.02622897	0.017630093	0.0015436069	0.014902177	0.5140281	0.02437433	0.0045276894
a31	0.0020097287	0.009244983	0.053422876	0.10976017	0.23784406	0.03653257	0.046255685	0.009019686	0.025329025	0.37948203	0.08980465	0.0012944834
a11	0.0024064053	0.00016731209	0.003159158	0.00486633	0.14183177	0.010557325	0.017286453	0.0110244425	0.060110044	0.69065493	0.05596896	0.0019668033
a39	0.009823259	0.0024745862	0.021921687	0.03945324	0.26759505	0.067564085	0.16444066	0.009996822	0.051041044	0.20944835	0.15457003	0.0016712102
a31	0.001459135	0.017548395	0.047522176	0.10855213	0.022462256	0.1652536	0.18294317	0.032960277	0.016044993	0.2576208	0.14648257	0.0011505529
a11	0.0004765592	6.587633e-05	0.001444249	0.00407273	0.055853076	0.024857542	0.03479407	0.00666482	0.05134995	0.76031095	0.058112692	0.0019974322
a18	0.0033444653	0.003316382	0.008795814	0.031173414	0.17721747	0.110546604	0.20483021	0.018460533	0.02791884	0.25302738	0.15928057	0.0020882734
a15	0.0012892381	0.017094322	0.020594334	0.042477198	0.00529098	0.3959648	0.2822159	0.06362138	0.012321892	0.09117558	0.06649143	0.0014629755
