 	dovevo	comprare	il	pane	</S>
a31	0.9917372	0.0055372366	0.0026795666	4.3507178e-05	2.538602e-06
a46	0.010996332	0.7722265	0.21582627	0.0009431404	7.701726e-06
a31	0.7370802	0.21895593	0.030482875	0.013401181	7.983117e-05
a18	0.9830566	0.012482284	0.0027434311	0.0016333408	8.426316e-05
a13	0.98093927	0.011838165	0.0019970282	0.0051942253	3.128925e-05
a0	0.97549975	0.011946772	0.00097312324	0.011266858	0.00031350477
a20	0.96914464	0.0055107665	0.0010872195	0.016453458	0.007803882
a7	0.8520086	0.019000191	0.0057326476	0.04751448	0.075744
a20	0.7539375	0.008687574	0.013837052	0.083153605	0.14038429
a31	0.5947679	0.032159396	0.034747172	0.11312693	0.22519861
a11	0.47364718	0.0038565162	0.032553054	0.25745174	0.23249146
a39	0.8134911	0.007306238	0.0083941175	0.15024698	0.020561539
a31	0.3295973	0.0537922	0.039687224	0.53655785	0.04036545
a13	0.18139403	0.0374857	0.08852947	0.4307465	0.26184425
a17	0.5351294	0.037848793	0.05038098	0.32701108	0.049629655
a31	0.18946415	0.12538064	0.13444312	0.4495173	0.1011948
a46	0.13231578	0.20702536	0.09271568	0.34414726	0.22379594
a20	0.24395865	0.10275064	0.13262436	0.40871596	0.11195037
a31	0.23264909	0.14600506	0.1255153	0.38656533	0.109265275
</S>	0.103805	0.2561846	0.09896003	0.23784803	0.3032023
