 	il	morto	vuole	pianto	</S>
a31	0.5854663	0.13086963	0.14053363	0.14138456	0.0017458511
a28	0.11754292	0.029275326	0.3051528	0.540146	0.007883015
a17	0.0043122917	0.42905384	0.076652214	0.48705694	0.0029246374
a31	0.1232621	0.61155313	0.08463821	0.17698589	0.0035607251
a20	0.0057269954	0.6064769	0.30865845	0.07703713	0.0021005713
a0	0.01873675	0.7501781	0.07703463	0.15145263	0.0025978696
a31	0.017385203	0.23704527	0.028778119	0.70062876	0.016162619
a13	0.0037136842	0.54080236	0.20181698	0.18801965	0.06564733
a6	0.0034265092	0.76588106	0.01737737	0.21269615	0.00061896216
a31	0.004414343	0.15593064	0.031108953	0.7989936	0.009552428
a46	0.00032903044	0.079454206	0.07152448	0.1699219	0.67877036
a37	0.008164162	0.73165697	0.015712524	0.24117501	0.0032913417
a31	0.029959112	0.42626294	0.026028007	0.4638112	0.053938743
a46	0.00090084743	0.05497923	0.02162459	0.64348847	0.2790069
a31	0.10802823	0.46886587	0.11068523	0.2513716	0.061049055
a46	0.0076462408	0.029212695	0.05808159	0.40361392	0.50144553
a8	0.22123565	0.21651712	0.26163667	0.16661851	0.13399208
a31	0.26434395	0.2096876	0.2012807	0.18406688	0.14062087
a8	0.032672692	0.038049363	0.043639828	0.56309485	0.32254326
</S>	0.21590477	0.20311643	0.2553878	0.17358764	0.15200333
