 	mi	sono	vestito	</S>
a39	0.9900047	0.0099056475	6.568452e-05	2.3805744e-05
a11	0.984536	0.013695344	0.0016729179	9.582557e-05
a13	0.99743915	0.0019282937	0.0004212411	0.00021123861
a18	0.9470012	0.0059845266	0.014255115	0.03275914
a31	0.48448434	0.037056	0.13352583	0.34493387
a37	0.96319014	0.0057052923	0.010701698	0.020402955
a15	0.86478764	0.014274521	0.073421694	0.047516044
a31	0.12939592	0.055410717	0.17482494	0.6403684
a46	0.1059836	0.037160143	0.48075342	0.3761028
a31	0.48044625	0.07464706	0.21536595	0.22954069
a20	0.045607705	0.05698001	0.41862345	0.47878882
a31	0.76807576	0.050638013	0.08664213	0.09464397
</S>	0.0926926	0.12278567	0.5911264	0.19339533
