 	ho	rotto	una	bottiglia	</S>
a31	0.5031781	0.46214485	0.023273887	0.009673027	0.0017301021
a21	0.011201806	0.012144681	0.00065864046	0.97434425	0.0016506095
a31	0.34167665	0.012588875	9.132764e-05	0.6455209	0.00012217178
a35	0.40183216	0.03446689	0.00025275673	0.40002325	0.16342486
a31	0.60379714	0.00076285226	0.00011853179	0.39474285	0.000578619
a24	0.92378634	0.008041846	0.00040278793	0.047116973	0.020652078
a37	0.9866263	0.00622626	0.00027136298	0.0064063566	0.0004696671
a31	0.67447203	0.024879921	0.0142866485	0.27327332	0.013088155
a33	0.020178244	0.02082564	0.15094772	0.7219493	0.086099096
a31	0.074823216	0.5325574	0.044430073	0.32995832	0.0182309
</S>	0.044923592	0.052106567	0.23851268	0.37147638	0.29298082
