 	avete	fatto	già	le	verdure	</S>
a6	0.0037787121	0.98499227	0.0054782727	0.0055246204	0.00021681642	9.350354e-06
a46	0.3115758	0.66234356	0.009863677	0.0021606153	0.008022869	0.0060334536
a21	0.0028302213	0.97410345	0.009697599	0.0061043147	0.0057613244	0.001503056
a20	0.0044597494	0.966812	0.0014061449	0.0011860582	0.019411553	0.00672441
a24	0.009523432	0.95392936	0.0024452878	0.0020337356	0.022485726	0.0095824255
a31	0.21678296	0.36723924	0.03150677	0.054576214	0.27903903	0.05085582
a14	0.004515952	0.17760162	0.7746781	0.030018514	0.012182458	0.0010032725
a41	0.07146756	0.8757782	0.009852622	0.0042996043	0.03723335	0.0013686605
a37	0.0040593003	0.8803439	0.034645133	0.009654607	0.070848696	0.0004483714
a31	0.066350006	0.26581466	0.046270937	0.048481125	0.5183072	0.054776043
a6	0.00403583	0.62022996	0.0998476	0.022747414	0.08765807	0.16548109
a46	0.016435016	0.9312771	0.044079833	0.0016991156	0.006369992	0.00013887172
a31	0.063278526	0.4104989	0.29826033	0.04911756	0.16085933	0.017985392
a17	0.00061618164	0.09963061	0.14727847	0.21935129	0.39103112	0.14209239
a20	0.042157043	0.855922	0.0599349	0.0091120405	0.029465323	0.0034087938
a31	0.04792834	0.23062696	0.35521948	0.06888687	0.25559965	0.04173875
a17	0.000796383	0.025884055	0.18516973	0.10285579	0.5920525	0.09324159
a20	0.14647222	0.60586524	0.102253705	0.054096203	0.072197676	0.019114941
a31	0.23987871	0.24086948	0.27909976	0.06342662	0.14110997	0.035615467
a20	0.0032622581	0.038511246	0.1020083	0.08641437	0.5474672	0.22233666
a17	0.26183408	0.1965855	0.15788981	0.13034713	0.17691794	0.07642556
a31	0.45628494	0.18002525	0.12443042	0.10224226	0.104134396	0.03288273
a23	0.031071631	0.037163198	0.045856167	0.09453057	0.5935953	0.19778313
a31	0.24286282	0.17207925	0.13587609	0.15398894	0.23183195	0.06336095
a8	0.015166525	0.060527116	0.03843843	0.084506616	0.30715847	0.4942028
a31	0.20771967	0.16432464	0.13127393	0.1738775	0.2695118	0.053292464
a28	0.013467608	0.08669561	0.04535	0.08318898	0.15644504	0.6148528
a21	0.16154763	0.14165455	0.11209346	0.20120542	0.3287617	0.054737207
a31	0.24579465	0.15382522	0.13727568	0.1458783	0.22196487	0.095261276
</S>	0.08128308	0.052922025	0.025642944	0.07247007	0.24031644	0.52736545
