 	se	vieni	alle	sette	io	sto	cucinando	</S>
a31	0.30552635	0.2251416	0.18067084	0.11059692	0.012387844	0.053987775	0.08090795	0.030780764
a21	0.02563274	0.021833938	0.23603024	0.22794168	0.103811376	0.030417789	0.30725297	0.0470793
a31	0.00045955236	0.11378523	0.0032503048	0.0042118444	0.122994326	0.13656291	0.5927798	0.025955984
a21	0.008429568	0.026619615	0.01756007	0.27480373	0.11834998	0.105511196	0.42893618	0.01978968
a31	0.0031738249	0.021026492	0.0026465787	0.0070072063	0.12832317	0.037934043	0.7950602	0.004828473
a13	0.028801097	0.007654776	0.014483146	0.30723733	0.47635362	0.04942408	0.11170505	0.004340855
a35	0.0022648103	0.0064342986	0.0022469636	0.006879565	0.12552251	0.028581137	0.81545466	0.012616031
a37	0.5455545	0.08170493	0.034290206	0.017312802	0.018515155	0.015214321	0.27762848	0.009779551
a31	0.016843343	0.039373193	0.06634486	0.04605739	0.018754834	0.021390371	0.74221164	0.049024384
a37	0.0028444258	0.0005104774	0.011130039	0.025601193	0.37049216	0.20474957	0.2588779	0.12579428
a31	0.0050431234	0.0810576	0.042002127	0.047788672	0.15723829	0.056091648	0.60525763	0.005520904
a24	0.0017019134	0.00038826978	0.014378512	0.12377168	0.53002167	0.04065098	0.038879413	0.25020754
a31	0.022325592	0.122952946	0.034221653	0.034228604	0.14477065	0.15198417	0.4324721	0.057044275
a13	0.052185956	0.017089728	0.07345271	0.28704277	0.3630402	0.008683106	0.11419395	0.08431158
a31	0.0109747825	0.2823575	0.09632932	0.029270666	0.080950886	0.18118022	0.30755612	0.01138044
a27	0.05485443	0.07349187	0.105031885	0.14794815	0.13970189	0.014459378	0.3987087	0.06580366
a31	0.026457442	0.3997011	0.21267883	0.043407813	0.04896266	0.1195332	0.14444013	0.0048187454
a35	0.029569399	0.14916354	0.2577546	0.16550848	0.14906129	0.012703991	0.16409384	0.07214481
</S>	0.06829059	0.34991714	0.3475963	0.07856781	0.06916058	0.04627775	0.034277413	0.0059124446
