 	non	ho	cosa	è	da	mangiare	</S>
a31	0.7729213	0.14061412	0.063956514	0.020594846	0.0011108407	0.00054069737	0.00026169917
a8	0.07610924	0.17022017	0.25642225	5.1826162e-05	0.00072704704	0.49485806	0.0016114084
a31	0.71245694	0.17954236	0.04055165	5.372798e-06	1.4805995e-05	0.0667063	0.00072263443
a37	0.6288894	0.050396696	0.04247284	0.000107714965	0.0006706269	0.25691324	0.0205496
a20	0.31457725	0.0657858	0.010470488	3.62577e-05	0.00011038644	0.6070639	0.0019559788
a31	0.574232	0.04161829	0.0026179517	0.00010132418	9.8135606e-05	0.37523183	0.0061005657
a17	0.08073434	0.009546575	0.04225089	0.00028677634	0.00016348828	0.8633232	0.0036946593
a20	0.73644626	0.11699651	0.007402902	0.00029880734	0.0007524965	0.13475183	0.0033512919
a31	0.25900596	0.081205614	0.0535874	0.0024208697	0.003671241	0.19390106	0.40620777
a39	0.010127058	0.010859796	0.010105843	0.0035825195	0.0020035165	0.806147	0.15717432
a35	0.7772105	0.0791912	0.02704973	0.034987062	0.027238263	0.031809997	0.022513213
a39	0.44477704	0.20591982	0.11963365	0.106019974	0.058049735	0.037227973	0.028371725
a46	0.24052091	0.15658295	0.13671482	0.030321108	0.0579578	0.074251056	0.3036514
a35	0.30612686	0.15066561	0.11018097	0.12123595	0.12477426	0.08050049	0.10651582
a31	0.39244384	0.19649448	0.14254491	0.09781564	0.06149542	0.046431087	0.062774606
</S>	0.1693097	0.11766627	0.18669398	0.059161402	0.03797272	0.11761275	0.31158316
