 	deve	che	entra	da	qui	</S>
a31	0.15476911	0.634108	0.18895048	0.016826604	0.0031006925	0.0022450432
a21	0.015021005	0.8480068	0.1317727	0.00088165165	0.0016954652	0.002622368
a31	0.0010147411	0.68973315	0.30665538	0.0003121293	0.000733556	0.0015510198
a20	0.0034890485	0.16424276	0.8001798	0.0053570475	0.002185249	0.024546083
a11	0.00087355997	0.18626717	0.8067511	0.0022815517	0.001940876	0.0018857652
a31	0.002888981	0.233386	0.6403436	0.004585713	0.04461658	0.074179076
a37	0.00021499218	0.0424944	0.95300186	0.00072457455	0.0024961315	0.0010680469
a31	0.012437949	0.88689756	0.044889554	0.022387326	0.014412361	0.018975249
a8	0.009105415	0.28280067	0.5912837	0.012510052	0.048266713	0.05603353
a31	0.16158623	0.28970358	0.064363316	0.15561439	0.18629454	0.14243801
a46	0.022470407	0.60713077	0.12300215	0.07158563	0.08002071	0.095790334
a31	0.24391684	0.11416453	0.08118641	0.15288386	0.24711636	0.16073208
</S>	0.03965523	0.27904013	0.041650653	0.22843459	0.21869342	0.19252603
