 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
a8	0.5347036	0.04823019	0.041649807	0.010692609	0.0038566438	0.05964239	0.22528797	0.07481124	0.001125535
a23	0.8469354	0.0027561074	0.0010161843	0.003485849	0.00035829074	0.012750603	0.026550129	0.10053037	0.0056170938
a31	0.035290517	0.0004400096	0.0023549874	9.8369244e-05	4.9882354e-05	0.0826594	0.2590752	0.5996631	0.02036853
a28	0.0009156536	2.1069381e-07	1.4248171e-05	0.003312603	8.969234e-07	0.07057959	0.16279623	0.7590931	0.0032875093
a20	0.009144686	3.1345215e-05	0.00035897375	0.00061705883	1.3912672e-05	0.02837035	0.10506164	0.84841555	0.007986515
a31	0.060315594	9.4580195e-05	0.13217318	0.009035985	0.00064089085	0.19527006	0.13862781	0.44776252	0.01607933
a8	0.0002794462	4.1918463e-07	5.164401e-05	0.016169867	2.9117919e-06	0.60918933	0.15219273	0.21826386	0.003849747
a31	0.110121295	0.00064118224	0.2523501	0.04286109	0.00015968799	0.07459888	0.17774187	0.33677414	0.0047518406
a20	0.009322339	1.3702362e-05	0.014993505	0.06850724	0.00062104425	0.32028678	0.32189026	0.2637307	0.0006344515
a31	0.03243527	0.00013727235	0.47317433	0.102074295	0.00033488203	0.023469599	0.06868718	0.28871077	0.0109764235
a36	0.19834949	0.00011732536	0.28283453	0.15068673	0.011380447	0.13591932	0.07316906	0.14686853	0.0006745266
a24	0.20535465	0.002457506	0.4254856	0.047794614	0.0037340783	0.018070575	0.04852644	0.1386124	0.10996411
a37	0.34488535	0.0042163003	0.37275085	0.02778795	0.00894695	0.086270206	0.039051212	0.08359026	0.032500885
a27	0.045113865	0.005736492	0.6418042	0.044776835	0.00064006454	0.15377754	0.05490668	0.05258472	0.0006595578
a8	0.0470899	0.043018863	0.5061277	0.05741978	0.0046945848	0.2780927	0.028847627	0.03280665	0.0019021565
a23	0.02160069	0.032404248	0.3469091	0.11824547	0.00042174445	0.34866768	0.104333095	0.026773449	0.00064447534
a31	0.021863291	0.056287073	0.23491862	0.07975781	0.002243398	0.43411216	0.13123868	0.03818575	0.0013931117
a37	0.012047922	0.00039499166	0.096635774	0.018386591	0.015262993	0.25563663	0.09532125	0.44637194	0.059941847
a29	0.0035028602	0.03893849	0.013579176	0.011201468	0.00044653713	0.43310276	0.37511778	0.12038156	0.0037293015
a31	0.021639753	0.3163272	0.109551884	0.07546017	0.0037379994	0.33162034	0.065118514	0.039805617	0.036738493
a13	0.0032598272	0.0007196263	0.053191856	0.004368371	0.00293871	0.23608606	0.104127906	0.5537765	0.041531138
a31	0.00675187	0.08858866	0.014245316	0.02391357	0.0017122941	0.26962844	0.44053072	0.14854328	0.006085826
a8	0.005387432	0.00477194	0.09331754	0.00320815	0.003045749	0.20110554	0.08573505	0.5066626	0.096765965
a31	0.016090488	0.18833813	0.031149242	0.07147888	0.00934791	0.14402726	0.3781442	0.15157138	0.009852498
a21	0.009565981	0.020346697	0.32598832	0.007179534	0.0065980186	0.13688001	0.07772939	0.29905415	0.116657935
a31	0.031104907	0.47587875	0.06471312	0.1611125	0.027072804	0.06145987	0.12567632	0.039975464	0.013006333
a29	0.0017715836	0.0395146	0.3567922	0.03680385	0.017727625	0.18499795	0.07238781	0.13879167	0.15121269
a31	0.023699408	0.51171076	0.062179826	0.18193467	0.026204024	0.05952357	0.09529963	0.02686855	0.012579544
a46	0.0010335826	0.07730472	0.19922562	0.109470434	0.06451953	0.24642244	0.07128454	0.06519054	0.16554862
a31	0.073704764	0.35427818	0.12309559	0.31499517	0.060054503	0.025013154	0.0296511	0.009814068	0.0093934685
a49	0.001483983	0.11999177	0.19611326	0.09710097	0.09910653	0.22906654	0.06833334	0.048087407	0.1407162
a3	0.07760485	0.347406	0.12234156	0.32448232	0.061829045	0.023570564	0.024839034	0.008818939	0.009107668
a18	0.108465485	0.24588169	0.13689685	0.22194226	0.09939655	0.04737602	0.07721075	0.031316746	0.0315137
a31	0.10638096	0.16546032	0.11522726	0.12271214	0.09911523	0.07246061	0.16717155	0.087731205	0.06374071
a8	0.004293432	0.15701225	0.19923042	0.022610227	0.04100865	0.12929499	0.14156441	0.14894883	0.15603676
</S>	0.12990788	0.20407052	0.17487352	0.19976859	0.12260292	0.039530665	0.07070584	0.026484666	0.032055438
