 	io	non	ho	cosa	da	mangiare	</S>
a31	0.82607114	0.110502854	0.05238326	0.006314546	0.0034773336	0.0009894648	0.00026131936
a37	0.098086536	0.28787684	0.19774677	0.044887435	0.014883443	0.35390145	0.0026175037
a31	0.17417084	0.5102351	0.0043666693	0.005692319	7.119695e-06	0.3042136	0.0013143818
a18	0.6658606	0.20115812	0.014030956	0.04595667	4.5199282e-05	0.06870225	0.0042461567
a31	0.18532516	0.3404902	0.007474664	0.0070201596	6.719621e-05	0.4585208	0.0011018491
a11	0.7341742	0.1758219	0.016414113	0.023450118	9.6040285e-06	0.049611017	0.0005190522
a37	0.45394364	0.33060443	0.0039394987	0.0032154752	0.00033932482	0.20736761	0.00059000263
a15	0.7437085	0.21321651	0.004277233	0.00032689498	1.1480139e-05	0.03545222	0.0030071286
a39	0.82674867	0.14258769	0.0138582215	0.0010012606	0.00012967207	0.014799459	0.00087507087
a31	0.1578694	0.364278	0.08282496	0.053035326	0.006958585	0.14205909	0.19297458
a39	0.025363924	0.0154442005	0.026559131	0.10106787	0.0023603977	0.6702885	0.15891597
a20	0.6269597	0.19076312	0.035294592	0.031187855	0.017191077	0.073141165	0.025462458
a24	0.3594461	0.2939079	0.12517929	0.0982121	0.027092272	0.052715093	0.043447275
a31	0.32266647	0.26238877	0.15848376	0.14195287	0.015692975	0.05000886	0.048806354
a46	0.016282085	0.23002768	0.1149777	0.04065441	0.033620834	0.2573516	0.30708566
a31	0.29914695	0.16889718	0.1201762	0.12079646	0.11104481	0.12630986	0.053628568
a3	0.033953547	0.39318296	0.08137967	0.02263382	0.09470551	0.18116686	0.1929777
a31	0.21161	0.16023387	0.1323146	0.13147235	0.13507208	0.14037345	0.0889237
</S>	0.0048290403	0.14835128	0.048499405	0.039043278	0.2332605	0.27907884	0.24693768
